,P7,O1,O2,P8,TIME
0,4632.821,3987.179,3872.821,4331.282,1603039364.779
1,4637.949,3996.41,3882.564,4334.872,1603039364.7869
2,4636.41,3994.359,3881.538,4333.333,1603039364.7946
3,4635.897,3982.051,3872.821,4327.692,1603039364.8024
4,4633.333,3977.436,3869.231,4322.564,1603039364.8101
5,4625.641,3980.0,3871.282,4323.077,1603039364.818
6,4624.615,3977.949,3873.846,4326.154,1603039364.8259
7,4631.282,3975.897,3874.872,4325.641,1603039364.8338
8,4635.897,3979.487,3876.41,4323.077,1603039364.8416
9,4636.41,3980.0,3873.846,4321.538,1603039364.8495
10,4634.872,3974.872,3865.128,4319.487,1603039364.8573
11,4631.795,3970.256,3861.538,4316.923,1603039364.8653
12,4626.667,3972.821,3864.103,4314.872,1603039364.8732
13,4625.641,3975.385,3863.077,4316.41,1603039364.881
14,4629.744,3972.308,3865.641,4320.0,1603039364.8888
15,4628.205,3971.282,3875.897,4323.077,1603039364.8967
16,4622.564,3976.41,3881.538,4325.641,1603039364.9046
17,4628.718,3981.026,3881.538,4326.154,1603039364.9123
18,4635.897,3979.487,3882.051,4324.103,1603039364.9201
19,4636.923,3981.538,3884.615,4325.641,1603039364.9278
20,4644.615,3991.795,3888.205,4330.256,1603039364.9356
21,4651.795,3995.897,3888.205,4327.692,1603039364.9434
22,4644.615,3985.641,3876.923,4317.949,1603039364.9512
23,4633.333,3974.359,3864.103,4312.308,1603039364.9589
24,4625.641,3968.718,3860.0,4313.333,1603039364.9667
25,4625.128,3969.744,3866.154,4316.923,1603039364.9744
26,4633.333,3976.41,3875.385,4323.077,1603039364.9823
27,4633.846,3983.59,3877.949,4321.026,1603039364.99
28,4631.795,3991.795,3877.949,4316.923,1603039364.9979
29,4642.051,4001.026,3884.103,4324.103,1603039365.0057
30,4645.641,3998.974,3887.692,4331.795,1603039365.0136
31,4637.436,3989.231,3881.538,4331.282,1603039365.0215
32,4636.923,3988.205,3878.462,4329.231,1603039365.0294
33,4636.41,3985.128,3877.949,4324.615,1603039365.0372
34,4625.641,3973.333,3870.769,4315.385,1603039365.0451
35,4620.513,3969.231,3862.564,4307.179,1603039365.0529
36,4622.051,3974.872,3861.026,4301.538,1603039365.0609
37,4623.59,3976.41,3864.103,4298.974,1603039365.0687
38,4629.744,3977.436,3870.256,4308.205,1603039365.0766
39,4633.846,3980.513,3872.308,4317.949,1603039365.0844
40,4630.769,3977.436,3876.923,4321.538,1603039365.0923
