,P7,O1,O2,P8,TIME
0,4494.872,3880.0,3809.744,4202.051,1603756682.5544
1,4498.974,3883.59,3815.385,4196.41,1603756682.5622
2,4486.667,3873.846,3806.667,4181.538,1603756682.5699
3,4473.333,3865.641,3795.385,4171.795,1603756682.5778
4,4489.744,3877.436,3791.795,4167.692,1603756682.5857
5,4506.154,3892.821,3795.897,4168.718,1603756682.5936
6,4490.769,3887.692,3803.077,4175.897,1603756682.6014
7,4485.641,3880.0,3805.128,4178.974,1603756682.6093
8,4503.077,3886.667,3809.744,4180.0,1603756682.6172
9,4502.051,3886.667,3822.564,4196.923,1603756682.6251
10,4488.718,3874.359,3825.128,4210.256,1603756682.6329
11,4494.359,3877.436,3804.615,4188.718,1603756682.6408
12,4498.974,3888.718,3788.205,4163.077,1603756682.6487
13,4467.179,3867.179,3790.769,4153.333,1603756682.6564
14,4442.564,3844.103,3796.41,4155.897,1603756682.6642
15,4487.692,3875.385,3804.103,4182.564,1603756682.6719
16,4540.0,3914.872,3817.436,4199.487,1603756682.6798
17,4520.0,3898.974,3814.872,4177.949,1603756682.6875
18,4471.282,3864.103,3793.333,4157.949,1603756682.6953
19,4465.128,3858.974,3792.308,4160.0,1603756682.703
20,4493.846,3872.821,3817.949,4172.821,1603756682.7108
21,4511.795,3887.692,3827.179,4197.949,1603756682.7186
22,4502.051,3889.744,3812.821,4210.256,1603756682.7264
23,4495.385,3887.179,3812.821,4198.462,1603756682.7341
24,4504.103,3893.846,3823.077,4195.385,1603756682.7419
25,4503.077,3893.333,3815.897,4191.282,1603756682.7497
26,4504.615,3887.179,3807.692,4167.179,1603756682.7576
27,4510.256,3887.692,3819.487,4168.718,1603756682.7654
28,4497.436,3881.538,3830.256,4201.026,1603756682.7733
29,4489.231,3873.333,3822.564,4203.59,1603756682.7812
30,4491.282,3875.385,3819.487,4184.103,1603756682.7891
31,4487.692,3879.487,3836.41,4194.359,1603756682.7969
32,4501.026,3889.231,3845.641,4217.436,1603756682.8048
33,4505.128,3899.487,3830.769,4203.077,1603756682.8126
34,4494.359,3902.051,3821.538,4181.538,1603756682.8206
35,4506.667,3889.744,3829.231,4184.615,1603756682.8284
36,4516.41,3873.333,3830.769,4191.795,1603756682.8363
37,4499.487,3866.154,3822.564,4197.436,1603756682.8441
38,4487.692,3862.051,3817.949,4193.846,1603756682.8519
39,4479.487,3853.333,3823.59,4169.231,1603756682.8597
40,4498.974,3872.821,3841.538,4176.923,1603756682.8674
41,4518.462,3904.103,3842.051,4201.026,1603756682.8752
42,4468.718,3884.103,3819.487,4177.949,1603756682.883
43,4448.718,3858.974,3817.949,4167.692,1603756682.8908
44,4485.641,3887.179,3829.231,4190.256,1603756682.8985
45,4466.154,3908.718,3824.103,4176.923,1603756682.9063
46,4457.949,3894.359,3822.564,4170.769,1603756682.914
47,4574.872,3922.051,3856.41,4260.0,1603756682.9219
48,4651.282,3966.154,3883.077,4312.821,1603756682.9296
49,4597.436,3947.692,3864.103,4251.282,1603756682.9374
50,4560.513,3919.487,3842.564,4213.846,1603756682.9451
51,4595.385,3934.359,3862.564,4268.718,1603756682.9531
52,4595.385,3933.846,3883.077,4295.385,1603756682.9609
53,4550.769,3916.923,3869.744,4248.718,1603756682.9688
54,4583.59,3950.256,3869.744,4243.59,1603756682.9766
55,4657.436,3991.282,3895.385,4291.795,1603756682.9846
56,4655.897,3981.026,3902.051,4311.282,1603756682.9924
57,4624.615,3958.974,3888.205,4298.974,1603756683.0003
58,4626.667,3958.462,3885.641,4289.744,1603756683.0081
59,4612.308,3953.333,3884.103,4281.026,1603756683.016
60,4592.821,3950.256,3879.487,4274.359,1603756683.0239
61,4630.769,3976.923,3900.513,4297.436,1603756683.0316
62,4674.359,3998.462,3922.051,4315.897,1603756683.0394
63,4671.282,3993.846,3911.282,4304.103,1603756683.0471
64,4637.949,3975.897,3895.385,4297.949,1603756683.055
65,4622.051,3968.205,3900.513,4310.256,1603756683.0627
66,4645.641,3980.0,3907.692,4314.359,1603756683.0705
67,4654.359,3986.154,3896.923,4291.282,1603756683.0782
68,4606.154,3973.846,3887.692,4266.154,1603756683.0861
69,4616.923,3990.769,3910.769,4298.462,1603756683.0938
70,4713.333,4033.846,3944.615,4361.538,1603756683.1016
71,4710.769,4020.513,3937.436,4361.026,1603756683.1093
72,4637.949,3986.667,3915.897,4328.205,1603756683.1171
73,4645.641,3990.769,3914.872,4317.436,1603756683.1249
74,4683.077,4006.667,3923.59,4322.564,1603756683.1328
75,4675.385,4014.359,3932.821,4346.154,1603756683.1406
76,4664.103,4010.256,3930.769,4353.333,1603756683.1485
77,4667.179,4002.051,3921.538,4329.744,1603756683.1564
78,4676.41,4012.308,3924.615,4335.385,1603756683.1643
79,4684.103,4030.769,3938.462,4366.154,1603756683.1721
80,4675.897,4022.564,3938.462,4356.41,1603756683.18
81,4666.667,4002.051,3922.564,4327.179,1603756683.1879
82,4663.077,3999.487,3921.026,4334.359,1603756683.1958
83,4670.256,4020.0,3942.564,4361.538,1603756683.2036
84,4684.103,4034.359,3948.718,4358.462,1603756683.2113
85,4695.897,4029.231,3937.949,4350.256,1603756683.2192
86,4711.282,4035.897,3946.667,4379.487,1603756683.2269
87,4693.846,4034.872,3951.282,4385.128,1603756683.2347
88,4660.513,4012.308,3931.795,4351.282,1603756683.2424
89,4680.0,4016.923,3929.744,4355.897,1603756683.2502
90,4711.795,4037.436,3941.538,4369.744,1603756683.258
91,4695.897,4032.821,3937.949,4354.872,1603756683.2658
92,4664.615,4012.821,3933.333,4353.846,1603756683.2735
93,4657.436,4008.205,3934.872,4356.923,1603756683.2813
94,4676.923,4026.154,3936.923,4348.718,1603756683.2891
95,4694.872,4033.846,3939.487,4355.897,1603756683.2969
96,4684.615,4022.051,3930.256,4350.769,1603756683.3046
97,4664.615,4014.872,3918.462,4324.615,1603756683.3125
98,4658.974,4007.692,3930.256,4335.897,1603756683.3203
99,4645.641,3987.179,3937.436,4352.821,1603756683.3283
100,4633.333,3977.436,3920.0,4328.718,1603756683.3361
101,4635.897,3985.641,3914.872,4315.897,1603756683.344
102,4632.308,3983.077,3916.41,4320.0,1603756683.3518
103,4614.872,3968.718,3895.385,4299.487,1603756683.3598
104,4593.846,3958.974,3875.385,4273.846,1603756683.3676
105,4587.179,3957.949,3873.333,4262.051,1603756683.3755
106,4603.077,3960.513,3878.974,4261.538,1603756683.3833
107,4594.359,3954.359,3872.821,4265.641,1603756683.3911
108,4554.359,3942.051,3855.385,4248.205,1603756683.3989
109,4565.128,3947.179,3861.026,4244.103,1603756683.4068
110,4594.359,3945.641,3877.436,4264.615,1603756683.4146
111,4544.103,3909.744,3861.026,4249.744,1603756683.4224
112,4520.513,3913.846,3849.231,4232.308,1603756683.4302
113,4590.769,3970.256,3875.897,4267.179,1603756683.4379
114,4598.462,3969.231,3878.462,4266.667,1603756683.4457
115,4535.385,3924.103,3848.205,4220.513,1603756683.4534
116,4544.103,3927.692,3845.641,4225.641,1603756683.4613
117,4585.128,3947.692,3861.538,4253.333,1603756683.469
118,4556.923,3921.026,3861.026,4246.154,1603756683.4768
119,4528.205,3902.564,3853.846,4238.974,1603756683.4845
120,4553.846,3926.154,3852.308,4243.077,1603756683.4924
121,4569.744,3942.051,3854.872,4240.513,1603756683.5001
122,4553.846,3932.821,3851.282,4234.872,1603756683.508
123,4549.744,3930.769,3839.487,4231.795,1603756683.5158
124,4554.359,3931.795,3837.949,4234.359,1603756683.5237
125,4551.795,3924.103,3851.795,4247.692,1603756683.5316
126,4558.974,3927.179,3859.487,4256.923,1603756683.5395
127,4567.692,3936.41,3855.385,4254.872,1603756683.5473
128,4566.667,3939.487,3855.897,4258.462,1603756683.5552
129,4550.256,3925.128,3854.359,4252.308,1603756683.5631
130,4526.667,3909.231,3837.949,4226.154,1603756683.571
131,4539.487,3923.59,3835.385,4220.513,1603756683.5788
132,4571.282,3944.615,3857.436,4241.538,1603756683.5865
133,4567.179,3943.077,3867.179,4247.692,1603756683.5944
134,4567.179,3949.231,3864.615,4257.436,1603756683.6021
135,4573.846,3946.154,3864.615,4275.897,1603756683.6099
136,4562.051,3929.744,3862.051,4261.538,1603756683.6176
137,4585.128,3951.282,3863.077,4253.846,1603756683.6254
138,4622.564,3976.923,3874.359,4282.564,1603756683.6332
139,4605.641,3963.59,3883.077,4293.333,1603756683.641
140,4578.462,3956.923,3884.103,4274.872,1603756683.6487
141,4595.385,3968.205,3886.154,4273.846,1603756683.6565
142,4610.769,3967.179,3885.641,4288.718,1603756683.6643
143,4590.769,3950.769,3872.308,4271.795,1603756683.6721
144,4564.103,3934.359,3853.333,4229.231,1603756683.6798
145,4594.872,3955.897,3864.103,4246.667,1603756683.6877
146,4659.487,4000.513,3901.026,4315.897,1603756683.6956
147,4654.872,3996.923,3911.282,4327.692,1603756683.7035
148,4615.385,3972.821,3901.538,4301.026,1603756683.7113
149,4633.333,3983.59,3909.744,4310.256,1603756683.7192
150,4658.974,3986.154,3915.385,4316.923,1603756683.727
151,4631.282,3964.103,3901.026,4296.41,1603756683.735
152,4589.231,3953.333,3884.615,4282.564,1603756683.7428
153,4591.795,3960.513,3883.077,4286.667,1603756683.7507
154,4629.744,3978.462,3901.026,4296.923,1603756683.7585
155,4656.41,3992.821,3918.462,4306.667,1603756683.7663
156,4638.974,3974.359,3906.667,4301.538,1603756683.7741
157,4606.154,3950.769,3884.103,4287.692,1603756683.7818
158,4605.128,3968.718,3889.231,4282.051,1603756683.7896
159,4626.154,3990.769,3903.59,4288.718,1603756683.7974
160,4622.051,3972.308,3894.359,4292.821,1603756683.8052
161,4596.41,3948.718,3885.128,4285.128,1603756683.8129
162,4608.205,3962.051,3898.974,4287.692,1603756683.8207
163,4635.385,3976.41,3907.179,4300.0,1603756683.8284
164,4623.077,3961.026,3896.923,4297.949,1603756683.8363
165,4604.103,3956.41,3886.154,4274.872,1603756683.844
166,4616.923,3984.103,3883.077,4258.974,1603756683.8518
167,4622.564,3986.154,3885.641,4268.205,1603756683.8595
168,4604.615,3948.205,3883.077,4272.308,1603756683.8675
169,4597.949,3935.385,3871.795,4264.615,1603756683.8753
170,4611.795,3957.436,3871.795,4263.59,1603756683.8832
171,4614.872,3950.769,3880.513,4263.077,1603756683.891
172,4593.846,3927.179,3877.436,4264.103,1603756683.899
173,4582.564,3944.615,3870.256,4276.41,1603756683.9068
174,4589.744,3969.231,3866.154,4276.41,1603756683.9147
175,4609.744,3972.308,3869.231,4263.59,1603756683.9225
176,4637.436,3979.487,3881.026,4266.667,1603756683.9304
177,4652.821,3985.641,3889.744,4287.692,1603756683.9383
178,4630.769,3969.231,3878.974,4295.385,1603756683.9462
179,4592.308,3942.051,3863.077,4278.974,1603756683.954
180,4594.359,3942.051,3867.692,4275.897,1603756683.9617
181,4642.051,3983.077,3892.308,4303.077,1603756683.9697
182,4688.718,4026.154,3915.385,4327.692,1603756683.9775
183,4690.256,4024.615,3920.513,4336.41,1603756683.9853
184,4654.359,4002.051,3918.974,4329.231,1603756683.993
185,4650.256,4008.205,3927.179,4322.051,1603756684.0009
186,4702.564,4037.949,3943.59,4353.333,1603756684.0086
187,4730.256,4050.769,3954.359,4390.769,1603756684.0164
188,4710.256,4040.0,3949.231,4372.308,1603756684.0241
189,4706.154,4036.41,3936.923,4341.026,1603756684.0321
190,4698.974,4033.333,3933.846,4347.692,1603756684.0399
191,4675.897,4020.513,3940.513,4353.333,1603756684.0478
192,4702.051,4030.769,3944.615,4344.615,1603756684.0556
193,4745.641,4047.692,3951.795,4364.615,1603756684.0634
194,4737.436,4041.026,3967.179,4398.974,1603756684.0712
195,4714.872,4032.821,3961.026,4387.692,1603756684.0791
196,4712.308,4039.487,3942.051,4353.333,1603756684.0869
197,4705.641,4044.103,3944.103,4353.846,1603756684.0948
198,4693.333,4035.897,3950.256,4364.103,1603756684.1027
199,4689.231,4018.462,3940.0,4348.205,1603756684.1106
200,4691.795,4016.923,3928.205,4336.923,1603756684.1184
201,4686.154,4024.103,3925.641,4332.821,1603756684.1261
202,4681.026,4021.538,3928.718,4331.282,1603756684.1341
203,4679.487,4014.872,3931.795,4343.59,1603756684.1419
204,4676.41,4013.846,3929.231,4349.231,1603756684.1497
205,4691.282,4026.154,3933.846,4335.385,1603756684.1574
206,4704.103,4033.333,3942.051,4325.641,1603756684.1654
207,4689.231,4020.0,3934.872,4330.256,1603756684.1732
208,4662.051,4009.231,3921.538,4320.0,1603756684.181
209,4638.462,3998.974,3902.564,4282.564,1603756684.1887
210,4641.538,3985.641,3889.231,4266.154,1603756684.1965
211,4674.359,3998.462,3905.641,4297.949,1603756684.2043
212,4674.359,4021.538,3920.0,4315.897,1603756684.2121
213,4629.744,4006.154,3902.564,4282.051,1603756684.2198
214,4618.974,3972.308,3888.718,4262.051,1603756684.2277
215,4631.795,3964.103,3896.923,4287.179,1603756684.2356
216,4606.154,3964.615,3886.154,4281.538,1603756684.2435
217,4595.897,3966.667,3868.718,4238.974,1603756684.2513
218,4634.872,3977.949,3887.692,4247.179,1603756684.2592
219,4653.333,3984.103,3912.821,4292.821,1603756684.2671
220,4636.923,3984.615,3904.615,4297.949,1603756684.275
221,4618.462,3982.051,3886.154,4272.821,1603756684.2828
222,4597.949,3970.256,3887.692,4258.974,1603756684.2907
223,4594.872,3964.103,3892.308,4254.359,1603756684.2985
224,4626.154,3978.974,3888.718,4256.41,1603756684.3063
225,4636.923,3983.59,3893.846,4266.667,1603756684.3141
226,4622.051,3979.487,3903.59,4276.41,1603756684.3218
227,4628.718,3990.256,3905.641,4277.436,1603756684.3296
228,4616.923,3979.487,3891.795,4258.974,1603756684.3374
229,4570.256,3945.641,3871.282,4241.538,1603756684.3452
230,4588.205,3959.487,3880.513,4260.513,1603756684.3529
231,4645.128,3997.949,3904.103,4280.513,1603756684.3607
232,4634.872,3990.256,3897.949,4277.436,1603756684.3685
233,4614.359,3972.821,3887.179,4282.564,1603756684.3763
234,4651.282,3988.205,3903.59,4300.513,1603756684.384
235,4660.0,3994.359,3909.744,4298.974,1603756684.3918
236,4620.513,3977.436,3893.846,4282.564,1603756684.3995
237,4626.154,3980.513,3898.974,4289.231,1603756684.4074
238,4659.487,4002.051,3914.359,4304.103,1603756684.4151
239,4674.872,4011.795,3916.41,4311.282,1603756684.423
