title:your record name, start timestamp:1600982328.276267, stop timestamp:1600982343.424512, headset type:EPOC, headset serial:81487574, headset firmware:1e00, subject name:alzaabi.su, channels:38, sampling rate:128, samples:1938      , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall
1600982328.276267,121.000000,0.000000,3890.769287,4610.769043,4105.641113,4247.179688,4014.358887,4613.333496,3961.025635,3796.923096,4349.230957,4033.846191,4239.487305,4138.461426,4057.948730,3978.974365,300.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,2.000000,4.000000,1.000000,41.666668
1600982328.283988,122.000000,0.000000,3900.000000,4611.282227,4109.743652,4250.256348,4014.358887,4615.384766,3962.051270,3800.512939,4353.846191,4036.923096,4234.871582,4144.615234,4057.435791,3979.487061,437.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,2.000000,4.000000,1.000000,41.666668
1600982328.291808,123.000000,0.000000,3904.615479,4610.769043,4110.256348,4251.282227,4010.256348,4615.384766,3961.025635,3802.564209,4353.333496,4040.000000,4234.871582,4144.615234,4060.000000,3979.487061,125.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,2.000000,4.000000,1.000000,41.666668
1600982328.299529,124.000000,0.000000,3906.666748,4621.538574,4113.846191,4257.436035,4018.461426,4619.487305,3962.564209,3808.718018,4353.333496,4043.076904,4242.051270,4143.589844,4066.153809,3984.615479,317.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,2.000000,4.000000,1.000000,41.666668
1600982328.307349,125.000000,0.000000,3906.666748,4629.230957,4120.000000,4261.025879,4026.153809,4625.641113,3964.615479,3809.230713,4353.333496,4044.615479,4244.615234,4146.153809,4070.769287,3987.179443,300.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,2.000000,4.000000,1.000000,41.666668
1600982328.315070,126.000000,0.000000,3902.051270,4624.615234,4119.487305,4256.410156,4022.564209,4628.205078,3961.538574,3805.641113,4350.256348,4044.615479,4240.512695,4146.666504,4067.179443,3985.128174,437.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,2.000000,4.000000,1.000000,41.666668
1600982328.322991,127.000000,0.000000,3900.512939,4618.461426,4117.948730,4254.358887,4015.897461,4620.000000,3958.974365,3808.205078,4349.230957,4045.641113,4235.384766,4145.128418,4061.025635,3981.025635,125.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,2.000000,4.000000,1.000000,41.666668
1600982328.330811,128.000000,0.000000,3900.512939,4619.487305,4117.436035,4255.897461,4011.794922,4608.205078,3960.000000,3810.256348,4346.153809,4036.410156,4233.846191,4144.615234,4058.974365,3979.487061,317.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,2.000000,4.000000,1.000000,41.666668
1600982328.338732,0.000000,0.000000,3902.564209,4625.641113,4116.922852,4256.922852,4020.000000,4614.871582,3967.692383,3815.384521,4349.743652,4028.718018,4238.461426,4144.615234,4064.615479,3980.000000,413.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,2.000000,4.000000,1.000000,41.666668
1600982328.346552,1.000000,0.000000,3898.461426,4618.461426,4114.358887,4253.333496,4023.589844,4621.538574,3967.179443,3816.410156,4353.333496,4032.820557,4236.922852,4142.051270,4061.025635,3979.487061,436.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,2.000000,4.000000,1.000000,41.666668
