,P7,O1,O2,P8,TIME
0,4647.179,4006.154,3916.923,4338.462,1603843342.6595
1,4651.282,4007.179,3916.923,4346.667,1603843342.6673
2,4646.667,4007.179,3919.487,4349.231,1603843342.6752
3,4641.026,4006.667,3921.538,4343.077,1603843342.683
4,4640.0,4003.077,3918.462,4340.0,1603843342.6909
5,4641.026,4002.051,3916.923,4337.436,1603843342.6988
6,4644.103,4008.718,3922.564,4338.974,1603843342.7067
7,4646.667,4009.744,3923.077,4342.051,1603843342.7145
8,4647.179,4006.154,3916.923,4341.538,1603843342.7222
9,4650.256,4009.231,3916.41,4343.59,1603843342.7301
10,4655.385,4014.872,3920.513,4345.641,1603843342.7378
11,4652.821,4013.846,3918.974,4340.513,1603843342.7456
12,4648.718,4009.231,3913.333,4337.436,1603843342.7533
13,4648.718,4011.795,3914.359,4340.513,1603843342.7611
14,4650.769,4016.41,3920.0,4343.077,1603843342.7689
15,4649.231,4012.821,3918.974,4343.59,1603843342.7767
16,4645.128,4007.179,3914.359,4340.513,1603843342.7844
17,4644.103,4007.179,3914.872,4334.359,1603843342.7923
18,4646.154,4009.231,3921.026,4340.0,1603843342.8001
19,4646.154,4007.179,3918.462,4347.692,1603843342.8081
20,4643.59,4007.179,3910.256,4342.564,1603843342.8159
21,4642.564,4008.205,3908.718,4333.333,1603843342.8238
22,4643.077,4008.718,3911.282,4332.308,1603843342.8316
23,4643.077,4009.231,3910.256,4332.308,1603843342.8395
24,4640.513,4003.59,3905.128,4327.179,1603843342.8474
25,4637.436,4000.0,3903.077,4325.128,1603843342.8553
26,4639.487,4004.103,3908.718,4332.308,1603843342.8631
27,4641.538,4001.538,3908.718,4332.308,1603843342.871
28,4640.513,3996.923,3901.026,4324.615,1603843342.8788
29,4642.051,4003.59,3908.205,4329.744,1603843342.8868
30,4643.077,4012.821,3919.487,4336.923,1603843342.8946
31,4644.103,4011.282,3908.205,4331.282,1603843342.9023
32,4647.179,4007.179,3893.846,4327.179,1603843342.9101
33,4647.692,4008.205,3903.59,4333.846,1603843342.9178
34,4643.59,4010.256,3917.436,4337.949,1603843342.9257
35,4641.026,4010.769,3912.821,4334.359,1603843342.9334
36,4637.949,4006.667,3900.513,4325.641,1603843342.9412
37,4636.923,4001.538,3901.538,4323.59,1603843342.9489
38,4637.949,4000.513,3910.769,4328.205,1603843342.9567
39,4639.487,4005.128,3909.744,4327.692,1603843342.9645
40,4641.538,4009.744,3907.692,4331.282,1603843342.9723
41,4644.615,4010.256,3912.308,4342.051,1603843342.98
42,4643.59,4011.795,3910.769,4338.462,1603843342.9879
43,4638.462,4010.256,3899.487,4325.128,1603843342.9958
44,4633.846,4000.513,3893.333,4323.59,1603843343.0037
45,4636.41,3997.949,3895.897,4328.205,1603843343.0115
46,4640.513,4007.179,3901.538,4330.256,1603843343.0194
47,4641.538,4012.821,3908.718,4334.359,1603843343.0272
48,4643.59,4010.769,3916.41,4338.462,1603843343.0352
49,4649.231,4011.282,3917.436,4342.051,1603843343.043
50,4648.718,4011.795,3909.744,4344.103,1603843343.0509
51,4642.051,4009.231,3904.103,4340.513,1603843343.0587
52,4643.59,4009.231,3907.692,4336.923,1603843343.0666
53,4646.154,4010.256,3909.231,4333.846,1603843343.0745
54,4643.077,4008.718,3903.077,4329.231,1603843343.0822
55,4641.538,4007.692,3898.462,4327.179,1603843343.09
56,4644.615,4011.795,3903.077,4331.795,1603843343.0977
57,4644.103,4012.821,3910.256,4334.872,1603843343.1055
58,4642.564,4010.769,3910.256,4336.41,1603843343.1133
59,4643.077,4011.795,3909.744,4334.872,1603843343.1211
60,4642.564,4014.359,3912.308,4334.359,1603843343.1288
61,4641.026,4011.282,3913.333,4340.513,1603843343.1367
62,4642.051,4010.256,3910.256,4343.59,1603843343.1445
63,4648.718,4015.385,3910.256,4341.538,1603843343.1525
64,4651.795,4015.385,3913.846,4341.026,1603843343.1603
65,4648.718,4011.795,3914.872,4342.564,1603843343.1682
66,4647.692,4009.744,3909.231,4341.026,1603843343.176
67,4648.718,4007.692,3902.051,4332.308,1603843343.1839
68,4645.641,4007.692,3903.59,4328.205,1603843343.1918
69,4644.103,4009.744,3908.718,4333.846,1603843343.1997
70,4644.615,4011.282,3909.744,4339.487,1603843343.2075
71,4642.051,4013.333,3913.333,4338.462,1603843343.2154
72,4640.513,4015.385,3915.385,4342.564,1603843343.2232
73,4643.077,4012.821,3914.359,4346.667,1603843343.2312
74,4643.59,4011.282,3915.385,4339.487,1603843343.239
75,4643.59,4010.769,3913.846,4336.923,1603843343.2468
76,4647.179,4010.769,3913.846,4342.051,1603843343.2546
77,4645.128,4009.744,3916.41,4342.564,1603843343.2624
78,4637.436,4005.641,3912.308,4336.41,1603843343.2702
79,4637.436,4004.615,3909.231,4334.359,1603843343.2779
80,4642.051,4008.718,3909.744,4334.872,1603843343.2857
81,4640.0,4006.154,3904.103,4329.231,1603843343.2934
82,4636.923,4002.564,3903.077,4328.205,1603843343.3013
83,4640.0,4008.205,3910.769,4335.385,1603843343.309
84,4642.564,4013.333,3913.333,4337.436,1603843343.3168
85,4641.538,4011.282,3917.949,4338.462,1603843343.3245
86,4641.026,4010.769,3926.667,4347.179,1603843343.3323
87,4640.0,4012.308,3918.462,4345.641,1603843343.3401
88,4637.949,4008.205,3907.179,4333.846,1603843343.3479
89,4641.538,4004.103,3913.333,4336.41,1603843343.3556
90,4647.179,4009.744,3921.026,4347.692,1603843343.3635
91,4649.744,4012.821,3916.41,4344.615,1603843343.3713
92,4647.179,4010.256,3909.744,4336.41,1603843343.3793
93,4642.564,4011.795,3909.231,4336.923,1603843343.3871
94,4642.564,4014.359,3912.308,4338.974,1603843343.395
95,4645.641,4013.333,3913.846,4336.923,1603843343.4028
96,4645.641,4010.769,3912.821,4336.923,1603843343.4107
97,4649.744,4016.923,3917.436,4346.154,1603843343.4186
98,4656.923,4026.154,3925.128,4355.897,1603843343.4265
99,4653.333,4021.026,3922.564,4354.359,1603843343.4343
100,4642.564,4008.718,3914.359,4345.641,1603843343.4422
101,4642.564,4010.769,3915.385,4341.026,1603843343.45
102,4648.205,4015.385,3918.974,4342.051,1603843343.4578
103,4645.641,4012.308,3914.872,4337.436,1603843343.4656
104,4638.974,4009.744,3906.667,4324.615,1603843343.4733
105,4637.436,4008.718,3903.59,4320.0,1603843343.4811
106,4638.974,4007.692,3908.718,4327.692,1603843343.4888
107,4638.974,4008.718,3912.308,4330.769,1603843343.4967
108,4641.538,4007.692,3911.282,4326.154,1603843343.5044
109,4642.564,4006.667,3910.256,4329.744,1603843343.5122
110,4642.564,4007.692,3911.795,4338.462,1603843343.5199
111,4645.641,4009.744,3913.846,4344.615,1603843343.5277
112,4646.154,4012.821,3917.436,4345.128,1603843343.5355
113,4642.051,4008.718,3915.385,4337.949,1603843343.5434
114,4642.564,4004.615,3908.718,4332.308,1603843343.5512
115,4641.538,4007.179,3909.231,4334.872,1603843343.5591
116,4640.0,4009.744,3913.333,4340.0,1603843343.567
117,4641.538,4007.692,3906.667,4333.846,1603843343.5749
118,4636.923,4003.077,3892.821,4321.538,1603843343.5827
119,4628.205,3996.923,3888.205,4317.436,1603843343.5906
120,4628.205,3995.897,3897.436,4323.59,1603843343.5984
121,4630.256,4001.026,3902.051,4327.179,1603843343.6064
122,4628.718,4001.026,3899.487,4324.615,1603843343.6142
123,4631.795,3998.462,3901.026,4326.667,1603843343.622
124,4637.436,4001.538,3905.128,4328.718,1603843343.6298
125,4635.385,4002.051,3902.051,4325.128,1603843343.6375
126,4629.231,3997.436,3895.385,4317.436,1603843343.6454
127,4627.179,3994.359,3891.282,4313.333,1603843343.6531
128,4626.667,3995.385,3893.333,4316.923,1603843343.6609
129,4628.205,3997.436,3901.026,4328.205,1603843343.6686
130,4630.769,4000.0,3902.564,4334.872,1603843343.6764
131,4629.744,3998.974,3897.436,4328.205,1603843343.6842
132,4625.641,3995.897,3898.462,4323.59,1603843343.692
133,4626.667,4000.0,3906.154,4330.256,1603843343.6997
134,4634.872,4005.641,3907.692,4337.949,1603843343.7076
135,4643.59,4006.667,3906.667,4340.513,1603843343.7154
136,4644.103,4006.154,3906.154,4338.462,1603843343.7234
137,4638.462,4005.641,3902.564,4326.667,1603843343.7312
138,4640.513,4005.641,3900.0,4317.949,1603843343.7391
139,4647.179,4006.667,3904.103,4326.667,1603843343.7469
140,4641.026,4002.051,3905.641,4330.769,1603843343.7548
141,4627.179,3993.333,3897.949,4321.026,1603843343.7627
142,4625.128,3992.821,3890.769,4318.462,1603843343.7706
143,4632.821,3998.462,3896.41,4327.692,1603843343.7784
144,4635.897,4000.513,3905.128,4331.795,1603843343.7863
145,4636.923,4002.564,3903.59,4330.769,1603843343.7941
146,4642.051,4006.154,3906.667,4336.41,1603843343.8019
147,4642.564,4005.641,3914.872,4342.051,1603843343.8097
148,4639.487,4003.59,3912.308,4339.487,1603843343.8174
149,4641.026,4003.077,3904.103,4332.308,1603843343.8252
150,4645.128,4003.077,3902.051,4328.205,1603843343.8329
151,4645.128,4002.051,3901.026,4327.692,1603843343.8408
152,4640.513,4003.59,3901.026,4329.744,1603843343.8485
153,4638.974,4005.128,3908.205,4331.282,1603843343.8563
154,4639.487,4003.59,3908.718,4328.205,1603843343.864
155,4638.974,4002.051,3908.205,4327.179,1603843343.8719
156,4639.487,4002.564,3911.282,4332.821,1603843343.8796
157,4640.0,4002.564,3910.769,4335.897,1603843343.8875
158,4644.103,4007.179,3914.359,4337.949,1603843343.8953
159,4648.205,4011.795,3922.051,4341.026,1603843343.9032
160,4644.103,4006.667,3918.462,4334.359,1603843343.9111
161,4637.949,3999.487,3909.744,4326.667,1603843343.919
162,4636.41,3998.974,3907.179,4325.128,1603843343.9268
163,4630.256,3994.872,3898.974,4314.872,1603843343.9347
164,4620.0,3988.718,3893.333,4304.103,1603843343.9425
165,4624.103,3993.333,3906.667,4315.385,1603843343.9505
166,4631.795,3998.462,3914.359,4327.179,1603843343.9583
167,4628.205,3995.897,3905.128,4322.564,1603843343.9662
168,4626.667,3998.974,3904.103,4323.59,1603843343.974
169,4635.897,4008.205,3922.564,4340.0,1603843343.9819
170,4640.0,4007.692,3930.769,4346.667,1603843343.9898
171,4636.923,4000.0,3915.897,4337.436,1603843343.9975
172,4638.974,4000.0,3908.718,4331.795,1603843344.0053
173,4642.051,4005.128,3913.846,4336.923,1603843344.013
174,4641.026,4006.154,3913.846,4338.974,1603843344.0208
175,4640.513,4006.667,3916.923,4338.462,1603843344.0286
176,4638.974,4007.692,3927.692,4343.077,1603843344.0364
177,4634.359,4002.564,3927.179,4340.513,1603843344.0441
178,4630.256,3994.872,3914.359,4333.846,1603843344.0519
179,4631.795,3994.872,3912.821,4333.333,1603843344.0596
180,4633.333,3996.923,3916.41,4332.308,1603843344.0675
181,4630.769,3995.897,3916.41,4330.769,1603843344.0752
182,4633.846,3998.462,3918.974,4335.385,1603843344.083
183,4640.513,4000.513,3916.923,4337.949,1603843344.0907
184,4640.0,3998.462,3916.41,4334.872,1603843344.0986
185,4634.359,3996.41,3916.923,4330.769,1603843344.1065
186,4631.795,3994.872,3911.282,4329.231,1603843344.1144
187,4632.308,3994.359,3908.718,4330.769,1603843344.1222
188,4634.872,3998.462,3914.359,4335.385,1603843344.1301
189,4637.436,4002.051,3913.333,4336.41,1603843344.138
190,4632.821,3998.462,3903.59,4330.256,1603843344.1459
191,4630.769,3996.41,3905.641,4325.128,1603843344.1537
192,4638.974,4002.051,3915.897,4332.821,1603843344.1616
193,4644.103,4009.231,3921.026,4344.103,1603843344.1694
194,4637.949,4008.718,3918.974,4340.0,1603843344.1772
195,4633.846,4003.077,3913.333,4330.769,1603843344.185
196,4636.41,3997.949,3906.667,4325.641,1603843344.1927
197,4633.846,3999.487,3903.59,4325.641,1603843344.2005
198,4632.821,4002.051,3907.179,4330.769,1603843344.2082
199,4637.949,4003.077,3915.385,4336.41,1603843344.2161
200,4640.0,4007.179,3920.0,4337.949,1603843344.2238
201,4641.026,4009.231,3920.513,4339.487,1603843344.2316
202,4644.615,4009.744,3922.051,4342.051,1603843344.2393
203,4643.59,4008.718,3923.077,4341.026,1603843344.2471
204,4640.0,4000.0,3915.385,4336.41,1603843344.2549
205,4635.897,3990.256,3899.487,4325.128,1603843344.2627
206,4630.256,3989.231,3891.282,4315.385,1603843344.2704
207,4629.744,3991.795,3894.872,4312.308,1603843344.2783
