,P7,O1,O2,P8,TIME
0,4774.359,4127.692,4015.897,4443.59,1603039396.7717
1,4777.949,4125.641,4014.359,4455.897,1603039396.7796
2,4769.231,4124.103,4021.026,4458.974,1603039396.7873
3,4770.256,4137.436,4045.128,4470.769,1603039396.7951
4,4770.769,4145.641,4054.872,4481.538,1603039396.8028
5,4770.256,4139.487,4050.256,4483.077,1603039396.8106
6,4770.769,4125.641,4043.077,4478.974,1603039396.8184
7,4773.333,4126.667,4043.59,4478.462,1603039396.8262
8,4760.0,4134.872,4040.513,4470.256,1603039396.8339
9,4733.846,4120.513,4018.462,4442.564,1603039396.8417
10,4748.205,4107.179,4015.385,4440.0,1603039396.8494
11,4785.641,4114.359,4027.692,4450.769,1603039396.8573
12,4776.923,4117.949,4018.974,4438.462,1603039396.865
13,4755.385,4120.0,4020.513,4438.462,1603039396.8728
14,4771.795,4134.872,4042.051,4452.821,1603039396.8805
15,4783.077,4135.385,4040.0,4449.231,1603039396.8884
16,4767.179,4120.513,4034.359,4457.436,1603039396.8963
17,4754.872,4121.538,4046.667,4487.179,1603039396.9042
18,4757.436,4125.128,4052.821,4486.667,1603039396.912
19,4749.231,4123.59,4051.795,4456.41,1603039396.9199
20,4733.333,4128.718,4045.641,4447.179,1603039396.9277
21,4770.769,4150.769,4050.769,4486.667,1603039396.9357
22,4809.231,4157.949,4059.487,4509.231,1603039396.9435
23,4762.051,4126.154,4035.385,4456.923,1603039396.9514
24,4713.333,4093.333,4007.692,4409.744,1603039396.9592
25,4732.308,4094.872,4014.872,4424.615,1603039396.9672
26,4765.641,4128.205,4030.256,4444.615,1603039396.975
27,4766.154,4134.359,4026.667,4438.462,1603039396.9827
28,4736.41,4105.641,4019.487,4430.769,1603039396.9905
29,4734.872,4104.103,4025.128,4439.487,1603039396.9982
30,4765.641,4124.615,4029.744,4445.641,1603039397.0061
31,4766.154,4119.487,4025.641,4448.718,1603039397.0138
32,4758.462,4112.308,4029.744,4462.564,1603039397.0216
33,4758.462,4128.205,4036.41,4454.359,1603039397.0293
34,4746.667,4141.538,4038.462,4440.513,1603039397.0371
35,4749.231,4132.821,4051.795,4468.718,1603039397.0449
36,4766.667,4113.333,4056.923,4475.897,1603039397.0527
37,4770.769,4124.615,4047.692,4456.41,1603039397.0604
38,4767.179,4144.103,4045.641,4470.256,1603039397.0683
39,4749.231,4117.436,4036.41,4454.359,1603039397.0761
40,4747.179,4110.256,4034.359,4420.0,1603039397.0841
41,4783.077,4148.718,4058.462,4463.077,1603039397.0919
42,4768.718,4127.692,4040.513,4482.564,1603039397.0998
43,4746.154,4104.615,4020.513,4438.974,1603039397.1076
44,4780.0,4146.154,4050.256,4448.205,1603039397.1155
45,4766.667,4135.897,4041.026,4460.513,1603039397.1234
46,4716.923,4082.051,3997.436,4418.462,1603039397.1313
47,4732.821,4088.718,4006.154,4414.872,1603039397.1391
