,P7,O1,O2,P8,TIME
0,4557.436,3929.231,3862.051,4286.154,1603752820.7199
1,4533.846,3922.051,3848.205,4285.128,1603752820.7276
2,4513.333,3909.231,3840.513,4286.154,1603752820.7354
3,4528.205,3911.795,3845.641,4285.128,1603752820.7432
4,4541.026,3922.564,3853.333,4293.333,1603752820.751
5,4533.333,3920.0,3853.846,4303.077,1603752820.7587
6,4522.051,3912.821,3850.256,4294.872,1603752820.7665
7,4520.513,3918.462,3851.795,4286.667,1603752820.7742
8,4522.051,3917.949,3853.333,4290.256,1603752820.7822
9,4520.513,3905.128,3849.231,4289.231,1603752820.79
10,4530.769,3910.769,3852.308,4294.359,1603752820.7979
11,4535.385,3925.641,3854.872,4301.026,1603752820.8057
12,4517.949,3921.026,3842.051,4288.718,1603752820.8136
13,4519.487,3913.333,3838.974,4286.154,1603752820.8215
14,4533.333,3915.897,3845.128,4295.385,1603752820.8294
15,4525.128,3914.359,3844.103,4283.59,1603752820.8372
16,4522.051,3913.333,3847.692,4279.487,1603752820.8451
17,4544.103,3929.744,3862.564,4309.231,1603752820.8529
18,4548.205,3938.462,3861.026,4314.872,1603752820.8609
19,4531.795,3926.667,3851.795,4293.846,1603752820.8687
20,4537.949,3923.077,3857.436,4293.846,1603752820.8764
21,4535.385,3921.538,3854.359,4293.333,1603752820.8842
22,4512.821,3910.769,3842.564,4283.077,1603752820.8919
23,4524.615,3918.974,3845.641,4294.359,1603752820.8998
24,4536.41,3923.59,3842.564,4299.487,1603752820.9075
25,4519.487,3906.154,3834.359,4289.744,1603752820.9153
26,4528.205,3909.744,3845.641,4297.436,1603752820.923
27,4540.513,3924.615,3851.282,4302.564,1603752820.9309
28,4513.846,3907.179,3830.256,4285.128,1603752820.9386
29,4504.615,3891.282,3823.077,4277.436,1603752820.9464
30,4534.359,3913.333,3841.538,4295.897,1603752820.9541
31,4545.641,3931.795,3848.205,4312.821,1603752820.962
32,4527.692,3915.897,3838.974,4303.077,1603752820.9699
33,4501.538,3892.821,3830.256,4278.974,1603752820.9778
34,4506.154,3900.513,3831.795,4277.436,1603752820.9856
35,4541.026,3920.0,3839.487,4298.974,1603752820.9935
36,4543.077,3913.846,3844.615,4312.308,1603752821.0013
37,4524.103,3906.667,3843.59,4310.256,1603752821.0093
38,4531.282,3915.897,3840.513,4302.051,1603752821.0171
39,4545.128,3923.59,3847.179,4303.077,1603752821.025
40,4532.821,3916.41,3848.205,4306.154,1603752821.0328
41,4514.872,3909.231,3835.385,4294.872,1603752821.0407
42,4529.744,3916.923,3835.385,4291.795,1603752821.0486
43,4555.897,3925.128,3844.103,4301.538,1603752821.0563
44,4550.256,3914.872,3836.41,4301.026,1603752821.0641
45,4523.59,3898.974,3827.692,4296.923,1603752821.0718
46,4518.974,3902.051,3830.769,4302.564,1603752821.0796
47,4536.923,3920.0,3837.436,4310.256,1603752821.0874
48,4554.359,3933.333,3847.692,4312.308,1603752821.0952
49,4561.026,3934.872,3857.436,4314.872,1603752821.1029
50,4547.179,3925.641,3853.333,4313.846,1603752821.1107
51,4538.462,3924.615,3845.128,4311.282,1603752821.1184
52,4550.256,3932.308,3840.513,4307.692,1603752821.1263
53,4556.923,3929.744,3841.538,4302.051,1603752821.134
54,4562.051,3931.795,3852.821,4306.667,1603752821.1418
55,4559.487,3939.487,3853.846,4305.128,1603752821.1495
56,4527.179,3926.154,3837.436,4280.513,1603752821.1575
57,4527.692,3921.538,3840.513,4281.026,1603752821.1653
58,4585.128,3950.256,3864.103,4321.538,1603752821.1732
59,4593.333,3956.41,3865.128,4326.667,1603752821.181
60,4544.615,3930.769,3851.282,4296.41,1603752821.1889
61,4540.513,3925.128,3855.385,4301.026,1603752821.1968
62,4566.667,3933.333,3862.051,4318.974,1603752821.2047
63,4560.513,3930.769,3855.385,4311.795,1603752821.2125
64,4540.513,3925.641,3851.282,4303.59,1603752821.2204
65,4542.051,3929.231,3856.923,4308.718,1603752821.2282
66,4570.256,3949.744,3870.256,4326.667,1603752821.2362
67,4573.333,3953.846,3867.692,4326.154,1603752821.244
68,4544.615,3933.846,3848.718,4300.0,1603752821.2517
69,4544.103,3927.179,3847.692,4298.974,1603752821.2595
70,4567.692,3935.385,3862.051,4328.205,1603752821.2672
71,4574.359,3936.923,3863.59,4332.308,1603752821.2751
72,4562.564,3936.923,3854.872,4309.744,1603752821.2828
73,4537.949,3928.205,3844.615,4293.846,1603752821.2906
