,P7,O1,O2,P8,TIME
0,4599.487,3946.154,3884.103,4309.231,1603753086.0645
1,4599.487,3947.179,3878.462,4307.179,1603753086.0723
2,4603.59,3950.769,3873.333,4305.641,1603753086.08
3,4601.538,3948.718,3872.821,4306.154,1603753086.0879
4,4600.0,3945.641,3873.846,4308.718,1603753086.0957
5,4603.077,3950.769,3874.872,4307.692,1603753086.1037
6,4602.051,3953.846,3878.974,4309.744,1603753086.1115
7,4602.564,3951.795,3886.667,4318.462,1603753086.1194
8,4605.641,3953.846,3890.256,4320.513,1603753086.1272
9,4604.615,3956.41,3889.231,4317.949,1603753086.1351
10,4602.051,3952.821,3889.231,4320.0,1603753086.143
11,4603.077,3951.282,3889.231,4321.026,1603753086.1509
12,4601.538,3952.308,3884.103,4313.846,1603753086.1587
13,4599.487,3947.179,3877.949,4309.231,1603753086.1664
14,4600.0,3946.667,3879.487,4311.282,1603753086.1742
15,4602.051,3951.282,3884.615,4314.872,1603753086.182
16,4600.0,3950.256,3879.487,4311.282,1603753086.1898
17,4595.897,3947.179,3873.333,4304.103,1603753086.1975
18,4594.359,3948.205,3874.359,4304.103,1603753086.2053
19,4598.974,3949.744,3878.974,4309.744,1603753086.2131
20,4601.026,3949.744,3881.026,4310.256,1603753086.2209
21,4600.0,3949.744,3879.487,4308.718,1603753086.2286
22,4604.615,3950.256,3882.564,4316.41,1603753086.2364
23,4608.205,3953.333,3888.205,4321.538,1603753086.2441
24,4607.692,3957.436,3887.179,4314.359,1603753086.252
25,4607.179,3956.41,3880.513,4308.718,1603753086.2597
26,4608.205,3955.385,3881.538,4311.282,1603753086.2676
27,4606.667,3952.821,3883.59,4309.744,1603753086.2754
28,4602.051,3949.744,3881.026,4304.103,1603753086.2833
29,4599.487,3949.744,3880.513,4304.103,1603753086.2912
30,4603.59,3953.333,3883.59,4309.744,1603753086.2991
31,4604.103,3951.795,3884.103,4315.385,1603753086.3069
32,4600.513,3950.256,3886.154,4318.974,1603753086.3148
33,4600.513,3953.333,3891.282,4318.974,1603753086.3226
34,4602.051,3954.359,3891.795,4316.41,1603753086.3306
35,4598.974,3952.821,3889.231,4313.846,1603753086.3384
