,P7,O1,O2,P8,TIME
0,4462.051,3805.128,3808.205,4204.615,1603842248.2729
1,4496.41,3830.256,3827.179,4218.974,1603842248.2807
2,4532.821,3852.821,3844.615,4258.462,1603842248.2886
3,4528.205,3845.641,3837.949,4278.462,1603842248.2964
4,4497.436,3836.923,3830.769,4251.282,1603842248.3043
5,4517.436,3877.436,3847.179,4257.949,1603842248.3122
6,4554.359,3902.564,3852.821,4291.795,1603842248.3201
7,4548.205,3873.846,3841.538,4284.615,1603842248.3279
8,4542.051,3873.333,3856.41,4286.154,1603842248.3358
9,4550.256,3892.308,3866.154,4302.051,1603842248.3437
10,4550.256,3887.692,3849.744,4287.179,1603842248.3516
11,4540.0,3887.179,3851.282,4277.436,1603842248.3594
12,4533.846,3890.769,3861.538,4286.667,1603842248.3671
13,4536.41,3876.923,3851.282,4278.974,1603842248.3749
14,4541.026,3870.256,3844.615,4270.769,1603842248.3827
15,4549.744,3888.205,3852.308,4281.026,1603842248.3905
16,4551.795,3889.744,3850.256,4277.436,1603842248.3982
17,4534.359,3864.103,3843.59,4261.538,1603842248.406
18,4529.231,3871.795,3852.821,4270.256,1603842248.4137
19,4566.154,3926.154,3872.821,4301.538,1603842248.4216
20,4595.385,3944.615,3880.0,4318.462,1603842248.4293
21,4581.026,3924.103,3868.205,4303.077,1603842248.4371
22,4555.897,3914.359,3856.923,4283.59,1603842248.4448
23,4557.949,3905.641,3862.051,4291.282,1603842248.4527
24,4590.256,3911.795,3877.949,4318.974,1603842248.4604
25,4600.513,3934.872,3883.59,4327.179,1603842248.4683
26,4585.128,3941.026,3884.103,4316.923,1603842248.4761
27,4596.41,3940.0,3895.385,4328.718,1603842248.484
28,4609.231,3948.718,3896.41,4346.154,1603842248.4919
29,4589.744,3941.026,3878.462,4327.692,1603842248.4998
30,4593.846,3937.949,3876.923,4309.231,1603842248.5076
31,4613.846,3960.513,3898.462,4320.513,1603842248.5155
32,4602.564,3977.949,3899.487,4326.667,1603842248.5233
33,4593.846,3971.795,3876.923,4316.923,1603842248.5313
34,4600.513,3949.231,3867.692,4313.846,1603842248.5391
35,4593.333,3929.744,3877.436,4318.974,1603842248.547
36,4583.59,3922.564,3877.949,4311.795,1603842248.5548
37,4587.692,3922.051,3868.718,4289.231,1603842248.5626
38,4591.282,3932.821,3875.385,4295.897,1603842248.5704
39,4586.154,3940.513,3877.949,4317.436,1603842248.5781
40,4583.59,3929.744,3866.667,4310.769,1603842248.5859
41,4590.769,3932.821,3881.026,4311.282,1603842248.5936
42,4602.051,3957.436,3902.564,4331.795,1603842248.6015
43,4596.41,3962.564,3892.308,4316.923,1603842248.6092
44,4573.846,3941.026,3875.897,4288.205,1603842248.617
45,4563.59,3925.128,3873.846,4291.282,1603842248.6247
46,4573.333,3921.538,3867.179,4293.333,1603842248.6325
47,4564.103,3904.103,3859.487,4274.872,1603842248.6403
48,4542.564,3904.103,3858.974,4250.256,1603842248.6482
49,4542.564,3928.718,3863.077,4253.846,1603842248.656
50,4550.769,3914.359,3874.359,4291.282,1603842248.6639
51,4566.154,3888.718,3875.385,4306.154,1603842248.6718
52,4600.0,3913.846,3872.308,4294.872,1603842248.6797
53,4619.487,3948.205,3893.333,4327.179,1603842248.6875
54,4612.308,3948.205,3913.333,4374.872,1603842248.6954
55,4601.538,3947.692,3903.59,4359.487,1603842248.7032
56,4587.692,3952.821,3889.744,4323.59,1603842248.7112
57,4586.667,3952.308,3889.744,4323.077,1603842248.719
58,4608.718,3962.564,3896.41,4341.026,1603842248.7268
59,4616.923,3971.795,3898.974,4341.538,1603842248.7346
60,4585.641,3945.128,3884.615,4311.282,1603842248.7423
61,4553.333,3908.718,3867.692,4288.205,1603842248.7502
62,4580.0,3940.0,3892.821,4319.487,1603842248.7579
63,4623.077,3990.256,3913.846,4354.872,1603842248.7657
64,4614.359,3968.205,3876.923,4329.744,1603842248.7734
65,4583.59,3923.59,3851.282,4291.282,1603842248.7813
66,4574.359,3928.205,3871.282,4292.308,1603842248.789
67,4583.077,3953.846,3885.128,4316.923,1603842248.7969
68,4594.359,3958.974,3886.154,4328.205,1603842248.8047
69,4596.923,3960.513,3888.718,4321.538,1603842248.8125
70,4592.821,3958.462,3886.154,4318.974,1603842248.8203
71,4603.077,3943.59,3888.718,4324.103,1603842248.8282
72,4609.231,3933.333,3890.769,4322.564,1603842248.836
73,4595.385,3940.513,3880.513,4312.821,1603842248.8439
74,4582.051,3943.077,3873.846,4308.205,1603842248.8518
75,4583.59,3941.026,3877.436,4313.846,1603842248.8597
76,4608.205,3965.128,3889.744,4334.359,1603842248.8675
77,4607.179,3964.103,3895.385,4336.923,1603842248.8754
78,4572.821,3930.769,3878.974,4307.692,1603842248.8832
79,4586.154,3941.026,3876.41,4308.205,1603842248.8912
80,4625.128,3972.308,3897.436,4342.564,1603842248.899
81,4611.795,3964.103,3899.487,4340.513,1603842248.9067
82,4586.667,3945.128,3880.0,4304.615,1603842248.9145
83,4611.282,3960.0,3876.41,4312.308,1603842248.9222
84,4621.026,3963.59,3878.974,4338.974,1603842248.9301
85,4588.718,3940.0,3871.795,4323.077,1603842248.9378
86,4588.718,3950.256,3878.974,4315.385,1603842248.9456
87,4617.949,3985.128,3897.949,4341.026,1603842248.9533
88,4617.436,3980.513,3898.974,4346.154,1603842248.9612
89,4605.128,3961.538,3893.846,4338.974,1603842248.9689
90,4616.41,3973.333,3896.923,4349.231,1603842248.9767
91,4615.385,3972.308,3887.692,4331.795,1603842248.9844
92,4606.667,3962.051,3885.641,4311.282,1603842248.9922
93,4613.846,3969.231,3895.385,4330.769,1603842249.0
94,4617.949,3971.795,3890.256,4349.744,1603842249.0079
95,4614.359,3980.513,3887.179,4338.974,1603842249.0157
96,4624.103,3995.385,3897.436,4335.385,1603842249.0236
97,4627.179,3968.205,3892.821,4345.641,1603842249.0314
98,4599.487,3920.513,3877.436,4335.385,1603842249.0394
99,4581.538,3920.0,3875.897,4311.282,1603842249.0472
100,4584.615,3934.872,3874.872,4289.231,1603842249.0551
101,4590.256,3937.436,3871.795,4286.154,1603842249.0629
102,4594.872,3946.667,3874.359,4300.513,1603842249.0709
103,4599.487,3958.974,3875.897,4317.436,1603842249.0787
104,4613.333,3976.923,3887.179,4331.795,1603842249.0866
105,4616.923,3976.923,3892.821,4320.0,1603842249.0944
106,4594.872,3945.641,3876.923,4302.051,1603842249.1023
107,4581.538,3929.231,3877.949,4306.154,1603842249.1102
108,4602.051,3946.667,3900.513,4325.641,1603842249.1179
109,4614.872,3948.205,3886.667,4331.282,1603842249.1257
110,4618.974,3958.462,3869.744,4337.436,1603842249.1334
111,4641.538,3993.846,3894.359,4350.769,1603842249.1412
112,4653.846,4007.179,3911.795,4358.974,1603842249.149
113,4645.641,4001.538,3907.179,4369.231,1603842249.1568
114,4640.0,4005.641,3908.205,4373.846,1603842249.1645
115,4636.41,3996.41,3901.026,4363.59,1603842249.1723
116,4634.872,3977.949,3891.282,4351.795,1603842249.1801
117,4634.872,3984.615,3904.615,4349.231,1603842249.188
118,4636.923,3995.897,3908.718,4342.564,1603842249.1958
119,4634.872,3988.718,3893.333,4331.795,1603842249.2037
120,4621.026,3977.436,3889.231,4326.667,1603842249.2115
121,4622.051,3987.692,3903.59,4338.974,1603842249.2195
122,4631.795,4006.667,3905.128,4354.359,1603842249.2273
123,4623.077,3992.821,3885.128,4331.282,1603842249.2352
124,4610.256,3951.795,3874.872,4310.256,1603842249.243
125,4593.846,3918.462,3875.385,4316.923,1603842249.251
126,4588.205,3929.231,3876.923,4318.462,1603842249.2589
127,4615.385,3960.513,3882.564,4315.897,1603842249.2667
128,4629.231,3957.949,3882.051,4325.128,1603842249.2745
129,4593.333,3935.385,3875.385,4320.0,1603842249.2822
130,4578.462,3944.615,3885.641,4314.359,1603842249.2901
131,4609.744,3975.897,3904.103,4338.974,1603842249.2978
132,4624.103,3979.487,3902.051,4351.795,1603842249.3056
133,4615.897,3970.769,3894.359,4342.051,1603842249.3133
134,4609.231,3969.744,3894.872,4336.923,1603842249.3211
135,4617.949,3970.769,3893.333,4324.615,1603842249.3289
136,4632.308,3971.795,3893.333,4322.564,1603842249.3367
137,4621.538,3960.513,3894.872,4345.128,1603842249.3444
138,4606.667,3956.923,3897.436,4354.359,1603842249.3522
139,4620.513,3981.538,3901.538,4339.487,1603842249.36
140,4632.308,3989.231,3901.026,4337.949,1603842249.3679
141,4621.538,3963.59,3898.462,4348.718,1603842249.3757
142,4634.359,3972.308,3903.077,4350.256,1603842249.3836
143,4654.359,4003.59,3897.949,4346.154,1603842249.3914
144,4642.564,3999.487,3892.821,4348.205,1603842249.3994
145,4630.769,3982.564,3904.615,4357.436,1603842249.4072
146,4617.436,3971.795,3895.897,4345.128,1603842249.4151
147,4605.641,3969.744,3882.051,4333.333,1603842249.4229
148,4625.641,3983.59,3902.051,4357.949,1603842249.4308
149,4650.256,3992.308,3909.744,4364.615,1603842249.4387
150,4635.385,3981.538,3892.821,4343.59,1603842249.4466
151,4625.641,3989.231,3900.513,4351.795,1603842249.4544
152,4646.667,4009.744,3911.282,4365.128,1603842249.4622
153,4642.051,3990.256,3893.846,4343.077,1603842249.4701
154,4617.436,3964.103,3890.769,4332.308,1603842249.4778
155,4615.385,3976.41,3903.077,4342.564,1603842249.4856
156,4624.103,3980.513,3897.949,4339.487,1603842249.4933
157,4619.487,3957.949,3888.205,4328.718,1603842249.5011
158,4614.359,3961.538,3892.821,4325.641,1603842249.5089
159,4619.487,3971.282,3898.462,4328.718,1603842249.5167
