,P7,O1,O2,P8,TIME
0,4590.769,3942.051,3851.795,4323.077,1603848299.6155
1,4600.0,3947.692,3853.846,4323.59,1603848299.6232
2,4607.179,3946.667,3858.462,4328.205,1603848299.6311
3,4603.077,3942.564,3858.462,4333.333,1603848299.6388
4,4597.436,3940.513,3856.41,4327.179,1603848299.6466
5,4601.026,3941.538,3858.462,4326.154,1603848299.6543
6,4605.128,3946.154,3858.462,4332.821,1603848299.6621
7,4605.128,3950.769,3858.974,4335.385,1603848299.6699
8,4606.667,3952.308,3862.564,4333.333,1603848299.6778
9,4608.718,3950.256,3862.564,4333.846,1603848299.6856
10,4603.59,3941.026,3856.923,4331.795,1603848299.6935
11,4598.462,3933.333,3853.333,4327.692,1603848299.7013
12,4603.59,3938.462,3855.385,4331.282,1603848299.7093
13,4613.333,3950.256,3861.538,4341.026,1603848299.7171
14,4611.282,3951.282,3864.103,4341.538,1603848299.725
15,4608.718,3948.205,3865.641,4340.0,1603848299.7328
16,4615.385,3952.308,3869.231,4343.59,1603848299.7407
17,4613.846,3949.231,3866.154,4338.974,1603848299.7486
18,4598.462,3937.436,3856.923,4328.205,1603848299.7565
19,4592.308,3932.308,3854.359,4329.231,1603848299.7643
20,4596.41,3933.333,3855.385,4331.282,1603848299.772
21,4596.923,3932.821,3852.308,4324.103,1603848299.7798
22,4595.897,3935.385,3851.282,4321.026,1603848299.7876
23,4594.872,3936.41,3850.769,4321.026,1603848299.7954
24,4594.359,3933.333,3848.205,4317.436,1603848299.8031
25,4594.359,3934.359,3849.231,4318.462,1603848299.8109
26,4594.359,3935.385,3854.872,4326.154,1603848299.8186
27,4593.846,3933.333,3855.897,4325.641,1603848299.8265
28,4598.974,3934.359,3859.487,4327.692,1603848299.8342
29,4600.513,3934.872,3864.103,4337.436,1603848299.842
30,4596.923,3935.897,3864.615,4339.487,1603848299.8497
31,4596.923,3937.949,3861.026,4332.308,1603848299.8576
32,4599.487,3936.923,3856.41,4327.179,1603848299.8655
33,4597.949,3939.487,3853.333,4327.692,1603848299.8734
34,4597.949,3947.179,3854.359,4328.718,1603848299.8812
35,4600.0,3944.615,3854.359,4326.154,1603848299.8891
36,4594.359,3935.897,3851.282,4323.077,1603848299.897
37,4589.744,3935.897,3851.282,4320.513,1603848299.9049
38,4594.359,3941.538,3855.385,4319.487,1603848299.9127
39,4599.487,3947.179,3858.974,4323.59,1603848299.9206
40,4598.974,3947.179,3860.0,4329.231,1603848299.9284
41,4597.436,3944.103,3862.051,4332.821,1603848299.9364
42,4597.436,3944.103,3863.59,4332.821,1603848299.9442
43,4599.487,3949.231,3862.564,4333.846,1603848299.9519
44,4602.051,3951.282,3862.051,4334.872,1603848299.9597
45,4598.462,3945.641,3859.487,4336.923,1603848299.9674
46,4591.282,3934.872,3848.718,4327.692,1603848299.9753
47,4595.897,3935.385,3846.154,4318.462,1603848299.983
48,4604.615,3946.667,3859.487,4326.154,1603848299.9908
49,4605.128,3950.769,3865.128,4333.333,1603848299.9985
50,4601.538,3949.231,3856.923,4326.667,1603848300.0063
51,4600.0,3949.744,3852.821,4320.513,1603848300.0141
52,4597.949,3949.231,3857.436,4321.026,1603848300.0219
53,4595.897,3945.641,3858.462,4320.513,1603848300.0296
54,4598.462,3944.615,3859.487,4326.154,1603848300.0375
55,4604.615,3946.667,3863.59,4334.359,1603848300.0453
56,4609.744,3950.769,3866.154,4337.436,1603848300.0533
57,4606.154,3950.256,3862.564,4335.897,1603848300.0611
58,4603.59,3947.692,3862.051,4333.846,1603848300.069
59,4604.615,3949.231,3862.564,4332.821,1603848300.0768
60,4607.179,3951.795,3859.487,4334.872,1603848300.0847
61,4607.692,3948.718,3855.385,4331.795,1603848300.0926
62,4607.692,3949.231,3856.41,4328.718,1603848300.1005
63,4611.282,3953.846,3861.026,4329.231,1603848300.1083
64,4613.333,3955.385,3863.077,4328.205,1603848300.1162
65,4606.154,3950.256,3859.487,4324.103,1603848300.124
66,4596.41,3941.538,3854.872,4323.077,1603848300.1319
67,4599.487,3940.513,3856.41,4326.154,1603848300.1398
68,4610.256,3949.744,3862.051,4333.333,1603848300.1476
69,4612.308,3956.41,3863.59,4340.513,1603848300.1554
70,4615.385,3960.513,3865.128,4340.513,1603848300.1631
71,4625.128,3968.205,3870.256,4342.051,1603848300.171
72,4623.59,3970.256,3873.846,4345.641,1603848300.1787
73,4613.846,3964.615,3874.359,4348.718,1603848300.1865
74,4615.897,3962.564,3874.872,4351.795,1603848300.1942
75,4624.103,3966.667,3877.949,4356.923,1603848300.202
76,4621.538,3966.667,3875.385,4353.846,1603848300.2098
77,4614.359,3957.949,3858.462,4335.897,1603848300.2176
78,4608.205,3948.205,3844.103,4319.487,1603848300.2253
79,4608.718,3952.308,3851.795,4326.667,1603848300.2332
80,4613.333,3953.846,3860.513,4336.41,1603848300.2411
81,4610.256,3942.051,3856.923,4331.282,1603848300.249
