,P7,O1,O2,P8,TIME
0,4663.59,4031.282,3958.462,4220.0,1604691642.007
1,4657.436,4022.051,3947.692,4214.359,1604691642.015
2,4642.564,4007.179,3930.769,4193.333,1604691642.0228
3,4629.744,3993.333,3922.051,4178.462,1604691642.0307
4,4635.897,3998.462,3923.077,4181.538,1604691642.0385
5,4645.128,4007.692,3925.641,4185.128,1604691642.0463
6,4642.564,3999.487,3925.641,4184.103,1604691642.0542
7,4637.436,3988.205,3918.462,4177.949,1604691642.0619
8,4633.333,3988.205,3910.256,4165.641,1604691642.0697
9,4629.744,3991.282,3914.872,4165.128,1604691642.0774
10,4632.821,3989.231,3924.103,4174.872,1604691642.0852
11,4636.41,3982.051,3924.103,4175.385,1604691642.093
12,4624.103,3978.462,3919.487,4169.231,1604691642.1008
13,4613.333,3984.103,3917.436,4168.718,1604691642.1085
14,4621.538,3988.718,3915.897,4170.769,1604691642.1163
15,4627.692,3986.667,3912.821,4170.769,1604691642.124
16,4621.026,3983.077,3911.795,4171.282,1604691642.1319
17,4615.385,3980.0,3914.359,4171.282,1604691642.1396
18,4615.385,3975.897,3914.359,4169.744,1604691642.1475
19,4617.949,3977.949,3911.795,4166.667,1604691642.1553
20,4622.564,3977.949,3911.282,4161.538,1604691642.1632
21,4616.41,3964.615,3907.692,4155.897,1604691642.1711
22,4605.128,3957.436,3898.974,4152.308,1604691642.179
23,4608.718,3969.231,3895.385,4152.308,1604691642.1868
24,4619.487,3978.974,3903.077,4153.846,1604691642.1947
25,4617.436,3975.897,3910.256,4154.359,1604691642.2025
26,4608.718,3974.359,3910.256,4156.41,1604691642.2105
27,4606.154,3972.308,3902.564,4158.462,1604691642.2183
28,4593.333,3957.436,3892.821,4147.179,1604691642.2262
29,4580.513,3950.256,3890.256,4133.846,1604691642.234
30,4597.949,3960.513,3895.385,4143.077,1604691642.2419
31,4618.974,3963.59,3896.41,4153.333,1604691642.2498
32,4609.744,3953.846,3892.308,4144.615,1604691642.2575
33,4595.897,3951.282,3890.769,4136.923,1604691642.2653
34,4598.462,3954.872,3892.821,4141.538,1604691642.273
35,4601.026,3956.923,3895.897,4147.179,1604691642.2809
36,4603.077,3962.564,3896.923,4150.256,1604691642.2888
37,4605.641,3970.769,3898.974,4150.769,1604691642.2966
38,4602.564,3970.769,3901.538,4149.744,1604691642.3043
39,4601.026,3963.59,3902.051,4152.821,1604691642.3121
40,4606.154,3959.487,3898.462,4154.359,1604691642.3198
41,4606.667,3958.974,3893.846,4151.282,1604691642.3277
42,4601.026,3956.923,3892.308,4150.256,1604691642.3354
43,4600.0,3960.513,3894.872,4153.333,1604691642.3432
44,4606.154,3967.692,3896.923,4152.308,1604691642.3509
45,4613.846,3971.795,3897.949,4154.872,1604691642.3588
46,4611.795,3973.333,3899.487,4164.103,1604691642.3667
47,4601.538,3965.641,3896.41,4161.026,1604691642.3746
48,4598.462,3953.333,3890.769,4151.795,1604691642.3824
49,4603.077,3955.897,3891.795,4152.821,1604691642.3903
50,4597.949,3958.462,3891.795,4157.949,1604691642.3981
51,4596.923,3956.923,3892.821,4162.564,1604691642.4061
52,4610.256,3969.231,3897.436,4171.282,1604691642.4139
53,4616.923,3979.487,3898.462,4173.846,1604691642.4218
54,4611.282,3972.308,3903.077,4169.231,1604691642.4296
55,4610.769,3970.256,3910.769,4168.205,1604691642.4373
56,4612.821,3973.333,3906.154,4171.282,1604691642.4452
57,4603.59,3963.59,3895.385,4170.256,1604691642.4529
58,4596.923,3954.872,3892.821,4157.436,1604691642.4607
59,4600.513,3956.923,3892.308,4153.333,1604691642.4684
60,4609.744,3960.513,3891.795,4165.128,1604691642.4762
61,4611.282,3959.487,3892.821,4165.641,1604691642.484
62,4603.077,3957.436,3891.795,4153.846,1604691642.4918
63,4601.026,3956.923,3891.282,4153.333,1604691642.4995
64,4605.128,3957.949,3894.359,4158.462,1604691642.5074
65,4601.538,3958.462,3894.359,4156.923,1604691642.5153
66,4597.436,3957.949,3895.897,4159.487,1604691642.5232
67,4606.667,3961.538,3902.564,4166.154,1604691642.531
68,4610.769,3962.051,3903.59,4168.718,1604691642.5389
69,4601.026,3957.436,3896.923,4169.744,1604691642.5467
70,4604.615,3963.077,3895.385,4168.205,1604691642.5547
71,4619.487,3976.41,3897.436,4160.513,1604691642.5625
72,4615.897,3974.359,3894.872,4153.333,1604691642.5704
73,4602.051,3961.026,3894.872,4154.359,1604691642.5782
74,4598.974,3956.41,3897.436,4160.513,1604691642.5861
75,4599.487,3958.462,3897.949,4168.718,1604691642.5941
76,4597.949,3955.897,3902.564,4171.795,1604691642.6019
77,4607.692,3956.41,3911.282,4170.256,1604691642.6097
78,4617.436,3966.154,3911.282,4170.769,1604691642.6174
79,4610.256,3972.821,3901.538,4164.615,1604691642.6252
80,4598.974,3971.282,3895.897,4153.333,1604691642.633
81,4601.026,3967.692,3896.923,4151.282,1604691642.6408
82,4608.718,3972.821,3898.974,4154.872,1604691642.6485
83,4605.641,3973.846,3896.923,4154.359,1604691642.6563
84,4597.436,3965.641,3895.385,4156.923,1604691642.664
85,4605.641,3965.128,3905.128,4168.205,1604691642.6719
86,4617.436,3972.308,3912.308,4175.385,1604691642.6796
87,4609.231,3971.282,3901.538,4171.795,1604691642.6875
88,4599.487,3961.538,3892.308,4168.205,1604691642.6953
89,4601.538,3955.385,3896.41,4169.231,1604691642.7031
90,4607.692,3958.462,3897.949,4168.718,1604691642.7109
91,4615.897,3971.282,3897.436,4168.205,1604691642.7188
92,4612.308,3971.795,3905.641,4167.692,1604691642.7266
93,4601.026,3959.487,3910.769,4168.718,1604691642.7345
94,4605.641,3962.564,3909.744,4173.846,1604691642.7423
95,4614.359,3974.872,3909.744,4181.538,1604691642.7503
96,4605.128,3975.897,3910.769,4181.026,1604691642.7581
97,4595.897,3969.231,3909.231,4170.769,1604691642.766
98,4605.128,3969.231,3906.667,4164.615,1604691642.7738
99,4618.462,3977.949,3909.744,4167.692,1604691642.7817
100,4620.513,3983.59,3914.359,4170.769,1604691642.7896
101,4616.923,3977.436,3915.385,4177.949,1604691642.7973
102,4614.359,3972.308,3914.359,4183.077,1604691642.8051
103,4613.333,3975.385,3913.846,4176.923,1604691642.8128
104,4620.0,3982.051,3914.872,4178.974,1604691642.8207
105,4624.615,3986.667,3915.385,4185.128,1604691642.8286
106,4617.949,3980.0,3910.769,4173.846,1604691642.8364
107,4614.359,3971.282,3907.179,4164.615,1604691642.8441
108,4615.897,3972.308,3910.256,4169.744,1604691642.8519
109,4612.308,3974.872,3912.308,4171.282,1604691642.8596
110,4607.692,3972.308,3910.256,4167.692,1604691642.8676
111,4609.744,3973.333,3910.769,4169.231,1604691642.8754
112,4617.949,3976.923,3915.385,4174.359,1604691642.8833
113,4617.949,3977.436,3914.872,4173.333,1604691642.8911
114,4608.718,3971.795,3907.692,4165.128,1604691642.899
115,4612.308,3965.128,3905.641,4163.59,1604691642.9069
116,4622.051,3969.744,3909.744,4168.718,1604691642.9148
117,4618.974,3976.923,3909.744,4169.231,1604691642.9226
118,4613.846,3980.0,3908.205,4173.333,1604691642.9305
119,4616.923,3986.154,3911.282,4185.641,1604691642.9383
120,4618.974,3985.641,3912.308,4185.641,1604691642.9463
121,4615.897,3974.359,3907.692,4172.821,1604691642.9541
122,4615.385,3974.359,3907.692,4171.795,1604691642.9619
123,4620.513,3990.769,3911.282,4183.59,1604691642.9697
124,4622.051,3990.256,3914.359,4187.179,1604691642.9774
125,4614.872,3974.359,3910.769,4182.564,1604691642.9853
126,4608.205,3968.718,3899.487,4179.487,1604691642.993
127,4610.769,3972.308,3893.846,4174.359,1604691643.0008
128,4590.769,3959.487,3895.897,4158.974,1604691652.0409
129,4587.692,3957.949,3897.949,4163.59,1604691652.0488
130,4586.154,3955.385,3895.897,4170.769,1604691652.0566
131,4587.179,3952.308,3894.872,4172.308,1604691652.0645
132,4590.769,3949.231,3895.385,4161.538,1604691652.0725
133,4584.615,3948.718,3892.308,4149.231,1604691652.0803
134,4582.564,3951.282,3890.769,4150.769,1604691652.0881
135,4599.487,3958.974,3894.872,4161.538,1604691652.096
136,4602.564,3960.0,3889.744,4164.103,1604691652.1038
137,4589.744,3953.333,3880.513,4163.59,1604691652.1118
138,4593.333,3957.436,3885.641,4170.256,1604691652.1196
139,4605.128,3962.051,3888.718,4172.308,1604691652.1273
140,4598.974,3956.923,3882.051,4171.795,1604691652.1351
141,4589.231,3956.923,3880.0,4171.795,1604691652.1428
142,4585.128,3957.949,3881.026,4169.231,1604691652.1507
143,4589.744,3958.462,3886.667,4172.821,1604691652.1584
144,4606.154,3967.692,3893.846,4185.128,1604691652.1662
145,4611.795,3971.795,3887.179,4185.641,1604691652.1739
146,4599.487,3958.462,3878.974,4173.333,1604691652.1817
147,4590.769,3949.231,3885.641,4166.667,1604691652.1895
148,4596.41,3956.923,3888.718,4170.769,1604691652.1973
149,4592.308,3955.897,3880.0,4169.744,1604691652.205
150,4572.821,3940.0,3872.308,4157.436,1604691652.2129
151,4577.436,3946.667,3876.923,4152.821,1604691652.2207
152,4602.051,3971.282,3891.795,4166.667,1604691652.2287
153,4608.205,3972.308,3897.436,4181.538,1604691652.2365
154,4601.026,3957.436,3892.821,4183.59,1604691652.2444
155,4598.462,3957.949,3893.846,4177.949,1604691652.2522
156,4590.256,3956.923,3890.769,4170.256,1604691652.2601
157,4582.564,3945.128,3884.615,4168.718,1604691652.268
158,4587.179,3947.692,3888.718,4172.308,1604691652.2759
159,4599.487,3959.487,3894.872,4172.308,1604691652.2837
160,4600.0,3958.974,3892.308,4171.795,1604691652.2914
161,4588.718,3952.308,3890.769,4172.308,1604691652.2992
162,4589.744,3954.872,3892.821,4173.846,1604691652.307
163,4603.077,3962.564,3894.359,4172.308,1604691652.3148
164,4603.077,3959.487,3894.359,4172.308,1604691652.3225
165,4587.179,3944.615,3886.154,4166.667,1604691652.3303
166,4580.0,3936.41,3876.923,4152.821,1604691652.338
167,4586.667,3951.795,3881.026,4155.897,1604691652.3459
168,4590.256,3959.487,3884.615,4168.205,1604691652.3536
169,4584.103,3947.692,3880.0,4165.641,1604691652.3614
170,4584.615,3948.718,3887.179,4168.718,1604691652.3691
171,4592.821,3958.974,3895.385,4180.0,1604691652.3769
172,4589.744,3954.359,3884.103,4175.897,1604691652.3847
173,4581.538,3949.744,3876.923,4164.103,1604691652.3926
174,4583.59,3957.949,3881.538,4157.436,1604691652.4004
175,4589.744,3956.41,3881.026,4156.923,1604691652.4083
176,4589.231,3945.128,3878.462,4167.692,1604691652.4161
177,4587.692,3945.641,3881.538,4170.256,1604691652.4241
178,4593.333,3955.385,3881.026,4154.872,1604691652.4319
179,4600.513,3959.487,3877.949,4147.692,1604691652.4398
180,4600.0,3954.872,3878.462,4152.821,1604691652.4476
181,4592.821,3954.872,3885.128,4158.974,1604691652.4555
182,4590.769,3959.487,3893.846,4169.744,1604691652.4634
183,4589.231,3955.897,3893.333,4173.846,1604691652.4713
184,4574.359,3941.538,3880.513,4158.974,1604691652.4791
185,4568.718,3940.0,3875.385,4151.795,1604691652.487
186,4591.282,3960.0,3888.205,4167.692,1604691652.4948
187,4609.744,3966.667,3897.949,4172.308,1604691652.5026
188,4603.59,3958.974,3891.795,4162.564,1604691652.5104
189,4600.0,3961.026,3883.077,4167.179,1604691652.5181
190,4603.077,3960.513,3878.974,4167.692,1604691652.5259
191,4594.872,3950.769,3883.077,4154.872,1604691652.5336
192,4583.59,3949.744,3890.769,4157.949,1604691652.5415
193,4579.487,3954.359,3890.256,4170.256,1604691652.5492
194,4591.282,3957.436,3891.795,4173.333,1604691652.5571
195,4600.513,3960.0,3897.436,4171.795,1604691652.5649
196,4587.179,3954.359,3886.667,4167.179,1604691652.5728
197,4587.692,3953.846,3881.026,4168.205,1604691652.5807
198,4603.077,3960.0,3892.821,4174.872,1604691652.5886
199,4591.282,3950.769,3888.718,4163.077,1604691652.5964
200,4577.949,3944.615,3874.359,4154.872,1604691652.6043
201,4596.923,3957.436,3884.615,4173.846,1604691652.6121
202,4608.205,3964.103,3898.974,4182.051,1604691652.6201
203,4599.487,3960.0,3894.359,4168.205,1604691652.6279
204,4596.41,3958.462,3890.769,4165.128,1604691652.6358
205,4600.0,3957.949,3894.872,4174.872,1604691652.6436
206,4596.41,3957.436,3896.41,4175.385,1604691652.6515
207,4587.692,3957.436,3891.282,4167.692,1604691652.6594
208,4591.282,3955.897,3890.769,4164.615,1604691652.6671
209,4602.564,3957.436,3893.333,4164.103,1604691652.6749
210,4592.308,3953.846,3887.179,4157.949,1604691652.6826
211,4581.026,3944.103,3883.59,4155.385,1604691652.6904
212,4593.333,3946.154,3889.744,4166.667,1604691652.6982
213,4602.564,3955.385,3890.769,4171.795,1604691652.706
214,4601.026,3958.974,3890.769,4168.718,1604691652.7137
215,4601.026,3955.897,3896.41,4170.256,1604691652.7215
216,4592.308,3948.205,3891.282,4167.692,1604691652.7292
217,4590.256,3950.256,3879.487,4163.077,1604691652.7371
218,4601.026,3958.462,3881.538,4162.564,1604691652.7448
219,4592.308,3948.718,3881.026,4154.359,1604691652.7527
