title:your record name, start timestamp:1601229785.748166, stop timestamp:1601229788.758417, headset type:EPOC, headset serial:29394885, headset firmware:1e00, subject name:alzaabi.su, channels:38, sampling rate:128, samples:386       , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall
1601229785.748166,30.000000,0.000000,3915.384521,4612.307617,4166.666504,4286.666504,3998.974365,4622.563965,3975.384521,3905.641113,4347.692383,4034.871826,4248.717773,4150.769043,4112.820313,4011.281982,0.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229785.755887,31.000000,0.000000,3908.205078,4598.461426,4164.102539,4275.384766,4001.538574,4624.102539,3984.102539,3898.974365,4343.589844,4038.974365,4244.102539,4152.307617,4107.692383,4005.641113,0.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229785.763707,32.000000,0.000000,3906.153809,4583.589844,4152.820313,4257.948730,3995.384521,4613.333496,3975.384521,3887.692383,4326.153809,4016.923096,4230.256348,4148.205078,4084.102539,4004.615479,0.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229785.771427,33.000000,0.000000,3906.153809,4591.794922,4150.769043,4262.051270,3992.307617,4614.871582,3976.410156,3888.718018,4317.948730,4008.718018,4229.230957,4145.641113,4087.692383,4007.179443,0.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229785.779248,34.000000,0.000000,3914.358887,4606.153809,4163.589844,4285.128418,3998.461426,4627.179688,3992.820557,3892.820557,4321.025879,4022.051270,4235.897461,4152.307617,4107.179688,4005.641113,0.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229785.786968,35.000000,0.000000,3922.051270,4605.128418,4170.769043,4291.794922,4002.564209,4628.205078,3991.794922,3884.102539,4314.871582,4021.025635,4233.846191,4153.333496,4104.102539,4005.128174,0.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229785.794889,36.000000,0.000000,3921.025635,4602.051270,4171.282227,4283.077148,4004.102539,4620.512695,3976.410156,3876.410156,4308.205078,4012.820557,4232.820313,4155.897461,4102.051270,4008.205078,0.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229785.802711,37.000000,0.000000,3922.051270,4614.358887,4172.820313,4286.666504,4008.205078,4616.922852,3970.769287,3882.564209,4313.333496,4015.384521,4241.025879,4165.641113,4112.307617,4010.769287,0.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229785.810532,38.000000,0.000000,3929.230713,4626.153809,4174.871582,4296.922852,4009.230713,4615.384766,3969.230713,3887.179443,4316.410156,4018.974365,4243.589844,4170.769043,4110.256348,4012.307617,0.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229785.818353,39.000000,0.000000,3927.692383,4623.077148,4173.333496,4291.794922,4004.102539,4613.846191,3965.128174,3887.692383,4321.538574,4022.564209,4241.025879,4168.205078,4109.743652,4013.846191,0.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
