title:your record name, start timestamp:1601229311.309987, stop timestamp:1601229321.390530, headset type:EPOC, headset serial:29135889, headset firmware:1e00, subject name:alzaabi.su, channels:38, sampling rate:128, samples:1290      , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall
1601229311.309987,120.000000,0.000000,3901.538574,4636.922852,4136.410156,4267.692383,3991.281982,4608.205078,3974.871826,3865.641113,4324.615234,3993.846191,4235.897461,4138.461426,4094.871826,3996.410156,244.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229311.317907,121.000000,0.000000,3903.076904,4637.948730,4137.436035,4266.666504,3992.307617,4601.538574,3969.230713,3866.666748,4328.205078,3994.358887,4236.922852,4136.410156,4091.794922,3986.153809,346.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229311.325728,122.000000,0.000000,3907.692383,4640.512695,4145.128418,4269.230957,3985.641113,4595.897461,3965.641113,3866.153809,4325.128418,3992.820557,4235.897461,4138.461426,4091.794922,3986.666748,422.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229311.333448,123.000000,0.000000,3911.281982,4639.487305,4147.692383,4269.743652,3981.025635,4593.333496,3960.000000,3866.153809,4319.487305,3987.692383,4235.897461,4144.102539,4094.871826,3997.435791,48.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229311.341269,124.000000,0.000000,3915.897461,4641.538574,4148.205078,4273.333496,3986.666748,4594.358887,3953.333252,3864.615479,4316.410156,3985.128174,4242.051270,4147.692383,4095.897461,3994.871826,244.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229311.348990,125.000000,0.000000,3919.487061,4648.717773,4152.307617,4278.461426,3989.743652,4593.846191,3948.718018,3858.461426,4311.282227,3988.718018,4244.615234,4148.717773,4093.333252,3993.333252,346.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229311.356810,126.000000,0.000000,3913.333252,4644.615234,4146.666504,4272.307617,3981.538574,4578.974121,3936.923096,3845.641113,4293.333496,3977.435791,4231.794922,4140.512695,4079.487061,4001.538574,422.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229311.364531,127.000000,0.000000,3906.153809,4640.000000,4137.436035,4267.179688,3982.564209,4577.436035,3936.923096,3840.000000,4284.615234,3964.615479,4223.589844,4132.820313,4069.230713,4001.538574,48.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229311.372352,128.000000,0.000000,3907.692383,4644.615234,4142.051270,4272.307617,3992.820557,4600.000000,3957.948730,3849.743652,4294.358887,3969.743652,4231.282227,4135.384766,4073.846191,3990.256348,244.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229311.380072,0.000000,0.000000,3907.179443,4644.615234,4144.102539,4273.846191,3992.307617,4613.333496,3973.846191,3861.025635,4304.615234,3975.384521,4234.871582,4138.461426,4078.974365,3982.051270,376.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229311.387893,1.000000,0.000000,3901.025635,4635.384766,4134.358887,4262.051270,3983.076904,4605.128418,3972.820557,3862.051270,4307.179688,3968.718018,4228.205078,4134.358887,4071.281982,3983.589844,430.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229311.395614,2.000000,0.000000,3901.025635,4636.922852,4132.820313,4260.000000,3985.128174,4603.589844,3972.820557,3865.128174,4315.384766,3970.256348,4230.769043,4135.384766,4070.256348,3984.615479,383.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229311.403434,3.000000,0.000000,3901.025635,4638.974121,4133.846191,4263.589844,3988.205078,4600.512695,3968.205078,3867.179443,4317.948730,3975.897461,4232.307617,4137.948730,4075.384521,3984.615479,432.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229311.411155,4.000000,0.000000,3901.538574,4640.000000,4134.871582,4264.102539,3989.230713,4596.922852,3963.076904,3868.205078,4320.512695,3980.000000,4232.307617,4140.000000,4081.025635,3989.230713,456.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229311.419076,5.000000,0.000000,3912.307617,4650.256348,4147.179688,4274.871582,3997.948730,4604.615234,3966.666748,3874.871826,4337.436035,3995.897461,4248.717773,4151.282227,4096.410156,3998.974365,436.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229311.426896,6.000000,0.000000,3922.564209,4658.461426,4157.436035,4286.666504,4003.076904,4607.692383,3968.205078,3878.974365,4350.256348,4013.333252,4264.102539,4163.077148,4117.948730,4003.589844,448.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229311.434817,7.000000,0.000000,3921.025635,4652.820313,4151.794922,4283.077148,3990.769287,4593.846191,3955.384521,3869.743652,4340.512695,4011.794922,4256.410156,4162.563965,4118.461426,4000.512939,352.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229311.442638,8.000000,0.000000,3913.846191,4647.179688,4147.179688,4282.051270,3982.051270,4588.205078,3947.179443,3861.538574,4327.692383,4002.051270,4244.615234,4154.871582,4098.974121,3995.384521,405.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229311.450559,9.000000,0.000000,3908.718018,4643.077148,4147.692383,4280.512695,3988.205078,4598.974121,3956.923096,3865.128174,4325.641113,3995.384521,4241.025879,4147.179688,4088.718018,3995.897461,406.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229311.458380,10.000000,0.000000,3906.666748,4637.436035,4140.512695,4266.153809,3994.871826,4602.563965,3965.641113,3866.153809,4318.974121,3986.153809,4237.436035,4138.974121,4088.718018,3990.256348,425.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229311.466300,11.000000,0.000000,3903.076904,4636.922852,4135.384766,4256.922852,3993.846191,4595.384766,3964.102539,3862.564209,4312.820313,3978.974365,4233.846191,4135.897461,4082.564209,3985.128174,46.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229311.474121,12.000000,0.000000,3900.000000,4642.051270,4142.051270,4264.102539,3995.384521,4603.077148,3972.307617,3871.281982,4324.615234,3983.589844,4233.846191,4140.512695,4078.461426,3996.410156,244.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229311.482042,13.000000,0.000000,3901.538574,4644.102539,4144.615234,4267.179688,3997.948730,4618.974121,3987.179443,3882.051270,4338.461426,3990.256348,4235.384766,4141.025879,4081.538574,4004.102539,346.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229311.489863,14.000000,0.000000,3906.666748,4647.692383,4142.563965,4264.102539,3995.897461,4620.000000,3988.205078,3878.461426,4337.436035,3987.692383,4237.436035,4137.436035,4084.615479,3990.256348,425.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229311.497783,15.000000,0.000000,3909.743652,4654.871582,4143.589844,4272.307617,3996.923096,4612.820313,3979.487061,3872.307617,4333.846191,3989.743652,4239.487305,4140.000000,4088.205078,3982.051270,46.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229311.505604,16.000000,0.000000,3909.230713,4651.282227,4142.563965,4272.820313,3994.358887,4606.153809,3967.179443,3867.179443,4328.717773,3989.230713,4237.948730,4141.538574,4086.153809,3988.205078,0.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
