title:your record name, start timestamp:1601229073.348422, stop timestamp:1601229133.795991, headset type:EPOC, headset serial:28768929, headset firmware:1e00, subject name:alzaabi.su, channels:38, sampling rate:128, samples:7731      , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall
1601229073.348422,14.000000,0.000000,3918.974365,4627.179688,4118.974121,4304.102539,4021.538574,4631.282227,3918.461426,3845.128174,4340.512695,4055.384521,4600.000000,4153.333496,4104.102539,3936.923096,433.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229073.356343,15.000000,0.000000,3927.692383,4629.230957,4131.794922,4306.666504,4023.076904,4653.846191,3929.230713,3855.384521,4354.871582,4066.666748,4607.179688,4155.897461,4113.846191,3944.615479,67.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229073.364163,16.000000,0.000000,3918.461426,4614.358887,4130.256348,4294.871582,4028.718018,4641.538574,3918.974365,3849.230713,4347.179688,4060.000000,4600.512695,4154.871582,4107.692383,3939.487061,0.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229073.372083,17.000000,0.000000,3907.179443,4609.230957,4116.922852,4290.769043,4025.128174,4624.615234,3913.333252,3840.512939,4333.846191,4044.102539,4590.769043,4148.717773,4097.436035,3931.794922,0.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229073.379904,18.000000,0.000000,3911.281982,4609.743652,4116.410156,4293.333496,4012.307617,4627.179688,3920.000000,3837.948730,4332.820313,4039.487061,4589.743652,4142.051270,4095.384521,3934.358887,0.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229073.387824,19.000000,0.000000,3916.923096,4603.589844,4126.153809,4295.384766,4006.153809,4627.692383,3916.410156,3837.948730,4334.871582,4038.461426,4590.769043,4140.512695,4096.922852,3936.410156,0.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229073.395644,20.000000,0.000000,3916.923096,4608.205078,4128.717773,4298.974121,4015.897461,4625.641113,3910.769287,3846.666748,4338.974121,4042.564209,4593.846191,4148.717773,4102.051270,3932.820557,0.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229073.403365,21.000000,0.000000,3916.923096,4615.384766,4127.179688,4302.563965,4025.128174,4631.282227,3917.948730,3856.410156,4345.128418,4054.358887,4596.922852,4155.897461,4104.615234,3935.897461,0.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229073.411185,22.000000,0.000000,3922.564209,4611.794922,4128.717773,4306.153809,4024.102539,4637.948730,3928.718018,3854.871826,4348.717773,4061.538574,4596.922852,4155.384766,4104.102539,3940.512939,0.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229073.418906,23.000000,0.000000,3927.692383,4608.717773,4132.307617,4309.230957,4024.102539,4638.974121,3930.769287,3855.897461,4354.358887,4057.435791,4596.410156,4152.820313,4110.256348,3938.974365,0.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229073.426726,24.000000,0.000000,3925.128174,4609.743652,4130.769043,4306.153809,4025.128174,4643.589844,3929.743652,3860.512939,4358.461426,4051.794922,4596.410156,4152.820313,4113.846191,3936.410156,0.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229073.434446,25.000000,0.000000,3920.512939,4610.256348,4126.666504,4295.384766,4020.512939,4645.641113,3927.179443,3853.846191,4354.358887,4047.179443,4594.358887,4151.282227,4109.230957,3937.948730,0.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229073.442267,26.000000,0.000000,3920.512939,4604.102539,4129.743652,4290.256348,4018.974365,4635.897461,3921.538574,3849.230713,4346.153809,4044.615479,4591.282227,4151.794922,4104.102539,3939.487061,0.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
