title:your record name, start timestamp:1601229369.342840, stop timestamp:1601229379.423300, headset type:EPOC, headset serial:29342892, headset firmware:1e00, subject name:alzaabi.su, channels:38, sampling rate:128, samples:1290      , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall
1601229369.342840,59.000000,0.000000,3923.589844,4618.974121,4169.230957,4278.974121,3992.307617,4627.179688,3973.333252,3869.230713,4313.333496,3984.615479,4197.436035,4150.769043,4081.025635,4002.564209,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,58.333332
1601229369.350766,60.000000,0.000000,3924.102539,4623.077148,4175.384766,4282.563965,3996.410156,4637.948730,3983.076904,3876.923096,4326.153809,3989.743652,4204.102539,4154.358887,4083.589844,4011.281982,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,58.333332
1601229369.358591,61.000000,0.000000,3927.692383,4623.589844,4177.948730,4287.179688,4002.564209,4639.487305,3981.538574,3882.051270,4332.820313,3995.897461,4204.615234,4153.846191,4086.666748,4009.743652,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,58.333332
1601229369.366516,62.000000,0.000000,3923.589844,4622.051270,4168.205078,4291.282227,4002.564209,4636.410156,3976.410156,3882.564209,4334.871582,3997.948730,4205.128418,4155.897461,4087.179443,4005.641113,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,58.333332
1601229369.374341,63.000000,0.000000,3915.384521,4622.563965,4160.512695,4285.641113,4001.538574,4638.461426,3980.512939,3881.538574,4334.871582,3994.358887,4208.205078,4157.436035,4086.666748,4008.718018,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,58.333332
1601229369.382265,64.000000,0.000000,3914.871826,4622.563965,4163.589844,4277.948730,3999.487061,4637.436035,3983.589844,3878.461426,4327.692383,3988.205078,4203.589844,4154.358887,4089.230713,4010.256348,378.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,58.333332
1601229369.390090,65.000000,0.000000,3917.435791,4620.000000,4167.692383,4282.051270,3998.461426,4633.846191,3982.051270,3873.846191,4322.051270,3984.615479,4196.922852,4149.743652,4082.051270,4008.205078,431.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,58.333332
1601229369.397815,66.000000,0.000000,3916.410156,4620.512695,4165.128418,4283.077148,4002.564209,4634.358887,3977.948730,3867.692383,4320.512695,3978.461426,4191.794922,4145.128418,4067.692383,4005.641113,386.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,58.333332
1601229369.405639,67.000000,0.000000,3918.974365,4623.077148,4163.077148,4278.974121,4009.230713,4631.282227,3974.358887,3864.615479,4315.897461,3972.307617,4190.256348,4141.025879,4069.230713,4001.538574,433.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,58.333332
1601229369.413364,68.000000,0.000000,3921.025635,4623.589844,4167.179688,4278.461426,4000.000000,4624.102539,3976.410156,3865.641113,4308.717773,3972.307617,4193.333496,4143.589844,4074.871826,4004.615479,459.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,58.333332
1601229369.421188,69.000000,0.000000,3921.025635,4626.666504,4168.717773,4281.538574,3986.153809,4623.589844,3976.923096,3871.794922,4312.307617,3977.435791,4199.487305,4148.205078,4072.307617,4011.281982,435.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,58.333332
1601229369.428913,70.000000,0.000000,3921.538574,4624.615234,4166.153809,4278.974121,3989.230713,4626.666504,3967.692383,3875.384521,4321.025879,3980.000000,4197.436035,4150.256348,4072.307617,4012.820557,448.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,58.333332
1601229369.436737,71.000000,0.000000,3922.564209,4621.025879,4168.717773,4279.487305,3998.461426,4634.358887,3971.794922,3873.846191,4329.230957,3983.589844,4196.922852,4153.846191,4081.538574,4008.718018,355.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,58.333332
