title:your record name, start timestamp:1601229880.919653, stop timestamp:1601229883.938332, headset type:EPOC, headset serial:29869923, headset firmware:1e00, subject name:alzaabi.su, channels:38, sampling rate:128, samples:387       , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall
1601229880.919653,74.000000,0.000000,3907.179443,4650.769043,4157.948730,4281.538574,3997.435791,4620.512695,3982.051270,3876.410156,4245.641113,4003.589844,4254.871582,4165.128418,4078.974365,4055.384521,426.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229880.927588,75.000000,0.000000,3909.743652,4650.769043,4161.025879,4276.922852,3996.923096,4626.666504,3974.358887,3876.923096,4251.282227,4009.743652,4259.487305,4159.487305,4087.179443,4052.307617,52.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229880.935422,76.000000,0.000000,3911.281982,4646.153809,4157.948730,4275.897461,3984.615479,4621.025879,3980.512939,3880.512939,4253.333496,4007.692383,4255.384766,4151.282227,4093.846191,4030.769287,235.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229880.943157,77.000000,0.000000,3907.692383,4645.641113,4151.282227,4276.922852,3992.820557,4609.743652,3984.102539,3877.435791,4244.615234,4004.102539,4253.846191,4157.436035,4088.205078,4017.435791,352.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229880.950991,78.000000,0.000000,3910.256348,4652.820313,4155.384766,4277.436035,4005.641113,4620.000000,3980.000000,3876.410156,4246.666504,4010.769287,4263.589844,4170.256348,4085.128174,4021.025635,426.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229880.958725,79.000000,0.000000,3916.410156,4657.948730,4168.205078,4284.102539,3994.871826,4631.282227,3985.128174,3876.923096,4252.307617,4014.871826,4267.692383,4171.794922,4080.512939,4025.128174,52.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229880.966559,80.000000,0.000000,3914.871826,4661.025879,4170.256348,4288.205078,3995.384521,4622.051270,3990.256348,3876.410156,4247.692383,4009.743652,4257.948730,4163.589844,4084.615479,4023.589844,235.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229880.974293,81.000000,0.000000,3911.281982,4665.641113,4164.102539,4286.153809,4011.794922,4614.358887,3988.718018,3881.025635,4247.179688,4007.692383,4255.897461,4154.871582,4101.025879,4020.000000,352.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229880.982126,82.000000,0.000000,3911.794922,4662.563965,4166.153809,4283.589844,4012.307617,4621.025879,3995.897461,3888.718018,4255.897461,4009.230713,4260.000000,4149.743652,4099.487305,4017.948730,426.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
1601229880.989858,83.000000,0.000000,3915.384521,4657.436035,4170.769043,4286.153809,4011.794922,4633.846191,4004.102539,3892.820557,4265.128418,4010.769287,4260.000000,4148.717773,4090.256348,4020.000000,52.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,1.000000,41.666668
